sample,total.transformations
RC2_0001,73556
RC2_0002,72788
RC2_0003,73179
RC2_0004,73391
RC2_0005,76354
RC2_0006,79601
RC2_0007,67670
RC2_0008,71690
RC2_0009,72293
RC2_0010,73645
RC2_0011,75992
RC2_0012,75777
RC2_0013,68993
RC2_0014,68527
RC2_0015,71403
RC2_0016,77058
RC2_0017,77872
RC2_0018,76753
RC2_0019,64475
RC2_0020,70042
RC2_0021,71625
RC2_0022,75881
RC2_0023,75748
RC2_0024,75566
RC2_0025,69389
RC2_0026,68076
RC2_0027,67466
RC2_0028,74698
RC2_0029,76982
RC2_0030,78131
RC2_0031,70404
RC2_0032,69589
RC2_0033,73537
RC2_0034,77250
RC2_0035,80302
RC2_0036,79023
RC2_0037,79234
RC2_0038,73949
RC2_0039,78455
RC2_0040,76919
RC2_0041,79156
RC2_0042,78611
RC2_0043,71561
RC2_0044,72528
RC2_0045,80752
RC2_0046,81963
RC2_0048,82304
RC2_0049,83603
RC2_0050,82423
RC2_0051,77871
RC2_0052,80488
RC2_0053,83871
RC2_0054,86252
RC2_0055,84175
RC2_0056,79093
RC2_0057,79295
RC2_0058,82460
RC2_0059,84518
RC2_0060,85956
RC2_0061,76490
RC2_0062,77712
RC2_0063,82559
RC2_0064,82551
RC2_0065,86966
RC2_0066,82688
RC2_0067,67586
RC2_0068,78310
RC2_0069,81135
RC2_0070,80888
RC2_0071,84813
RC2_0072,83425
RC2_0073,82932
RC2_0074,83356
RC2_0075,81569
RC2_0076,81556
RC2_0077,81367
RC2_0078,69941
RC2_0079,68514
RC2_0080,77278
RC2_0081,79667
RC2_0082,86976
RC2_0083,87163
RC2_0084,87863
RC2_0085,67786
RC2_0086,76963
RC2_0087,83764
RC2_0088,84415
RC2_0089,85571
RC2_0090,82838
RC2_0091,52598
RC2_0092,62997
RC2_0093,83747
RC2_0094,79058
RC2_0095,78260
RC2_0096,78656
RC2_0097,77116
RC2_0098,77813
RC2_0099,80163
RC2_0100,88978
RC2_0101,63701
RC2_0103,78478
RC2_0104,72972
RC2_0105,76928
RC2_0106,79541
RC2_0107,64865
RC2_0108,79122
RC2_0109,82135
RC2_0110,76820
RC2_0111,72029
RC2_0112,73830
RC2_0113,64206
RC2_0114,66073
RC2_0115,75910
RC2_0116,76414
RC2_0117,79277
RC2_0118,69925
RC2_0119,61873
RC2_0120,73173
RC2_0121,76424
RC2_0122,81143
RC2_0123,75752
RC2_0124,76534
RC2_0125,64955
RC2_0126,68974
RC2_0127,78841
RC2_0128,73300
RC2_0129,70960
RC2_0130,72689
RC2_0131,72229
RC2_0132,67263
RC2_0133,68209
RC2_0134,71861
RC2_0135,75090
RC2_0136,72751
RC2_0137,76437
RC2_0138,72687
RC2_0139,76734
RC2_0140,73234
RC2_0141,77621
RC2_0142,76544
RC2_0143,74090
RC2_0144,72960
RC2_0145,74705
RC2_0146,75664
RC2_0147,77910
RC2_0148,72779
RC2_0149,75330
RC2_0150,69072
RC2_0151,87369
RC2_0152,73836
RC2_0153,71823
RC2_0154,80870
RC2_0155,70656
RC2_0156,72215
RC2_0157,70448
RC2_0158,71923
RC2_0159,71109
RC2_0160,74380
RC2_0163,69156
RC2_0164,66378
RC2_0165,73236
RC2_0166,68728
RC2_0167,78362
RC2_0177,79017
RC2_0178,71173
RC2_0179,66821
RC2_0183,63037
RC2_0184,69827
RC2_0187,76119
RC2_0188,76604
RC2_0189,75687
RC2_0190,71745
RC2_0191,72153
RC2_0192,67731
RC2_0193,79344
RC2_0194,74740
RC2_0195,68364
RC2_0196,68559
RC2_0197,72692
RC2_0198,71607
RC2_0199,70477
RC2_0200,78218
RC2_0201,75571
RC2_0202,78634
RC2_0203,78412
RC2_0204,79992
RC2_0205,83265
RC2_0206,74465
RC2_0207,74203
RC2_0208,76895
RC2_0209,79403
RC2_0210,81079
RC2_0211,81221
WROL2019_001,49763
WROL2019_002,8650
WROL2019_003,27944
WROL2019_004,73858
WROL2019_005,61388
WROL2019_006,28032
WROL2019_007,50058
WROL2019_008,50000
WROL2019_009,61084
WROL2019_010,64298
WROL2019_011,66350
WROL2019_012,61189
WROL2019_013,24317
WROL2019_014,43300
WROL2019_015,34051
WROL2019_016,60029
WROL2019_017,34054
WROL2019_018,55465
WROL2019_019,67684
WROL2019_020,56895
WROL2019_021,54985
WROL2019_022,29929
WROL2019_023,59603
WROL2019_024,18124
WROL2019_025,17942
WROL2019_026,16970
WROL2019_029,34258
WROL2019_030,43050
WROL2019_033,37357
WROL2019_034,37571
WROL2019_035,58243
WROL2019_036,46785
WROL2019_037,20599
WROL2019_042,16240
WROL2019_043,50481
WROL2019_044,20624
WROL2019_045,22282
WROL2019_046,15107
WROL2019_048,31444
WROL2019_049,60008
WROL2019_050,37382
WROL2019_051,51538
WROL2019_052,52248
WROL2019_053,47429
WROL2019_054,60290
WROL2019_055,51812
WROL2019_056,33199
WROL2019_057,60113
WROL2019_058,53248
WROL2019_059,30629
WROL2019_060,65172
WROL2019_061,53048
WROL2019_062,44821
WROL2019_063,67404
WROL2019_064,62333
WROL2019_065,65659
WROL2019_066,60164
WROL2019_067,58737
WROL2019_068,66119
WROL2019_069,64497
WROL2019_070,66113
WROL2019_071,68143
WROL2019_072,69002
WROL2019_073,64040
WROL2019_074,28330
WROL2019_075,30187
WROL2019_076,46765
WROL2019_077,32168
WROL2019_078,64608
WROL2019_079,62766
WROL2019_080,48628
WROL2019_081,45244
WROL2019_082,56910
WROL2019_083,61820
WROL2019_084,63126
WROL2019_085,40416
WROL2019_086,68191
WROL2019_097,69505
WROL2019_098,59612
WROL2019_099,56978
WROL2019_100,72720
WROL2019_1001,59445
WROL2019_1002,42239
WROL2019_1003,51343
WROL2019_1004,71361
WROL2019_101,69573
WROL2019_102,69803
WROL2019_103,68049
WROL2019_104,65823
WROL2019_105,64172
WROL2019_106,51525
WROL2019_107,38447
WROL2019_108,64169
WROL2019_109,48957
WROL2019_110,28609
WROL2019_111,55704
WROL2019_112,71403
WROL2019_113,42827
WROL2019_114,65197
WROL2019_115,39646
WROL2019_116,49850
WROL2019_117,29531
WROL2019_118,32116
WROL2019_119,56299
WROL2019_120,72124
WROL2019_121,43354
WROL2019_122,42195
WROL2019_123,57337
WROL2019_124,56669
WROL2019_125,63604
WROL2019_126,65498
WROL2019_128,56793
WROL2019_130,66584
WROL2019_134,59906
WROL2019_135,62390
WROL2019_136,46702
WROL2019_137,59802
WROL2019_138,57495
WROL2019_139,31521
WROL2019_140,26292
WROL2019_145,61505
WROL2019_146,49328
WROL2019_147,55824
WROL2019_148,62343
WROL2019_149,61988
WROL2019_150,45320
WROL2019_151,37955
WROL2019_152,44560
WROL2019_153,63082
WROL2019_154,42605
WROL2019_155,81196
WROL2019_162,67708
WROL2019_164,20533
WROL2019_165,57092
WROL2019_166,70637
WROL2019_167,62372
WROL2019_168,67525
WROL2019_169,46729
WROL2019_170,75152
WROL2019_171,69836
WROL2019_172,60449
WROL2019_173,77956
WROL2019_174,64624
WROL2019_175,69786
WROL2019_176,54809
WROL2019_177,61746
WROL2019_178,70408
WROL2019_179,73831
WROL2019_180,74662
WROL2019_181,66867
WROL2019_182,71691
WROL2019_183,64808
WROL2019_184,57823
WROL2019_185,67147
WROL2019_186,75771
WROL2019_188,63262
WROL2019_189,45935
WROL2019_190,35480
WROL2019_192,37934
WROL2019_193,52734
WROL2019_194,70171
WROL2019_195,71241
WROL2019_209,65192
WROL2019_210,65951
WROL2019_211,53593
WROL2019_212,68003
WROL2019_213,33513
WROL2019_215,73079
WROL2019_216,47057
