sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL,mon,depth,vf_md,Da
WROL2019_137,CT-MOOS,2020-06-05,Connecticut,208.9341,31.61870598,3,73001351.0,1.999392,9.56948626385066e-06,0.0,4.504,6,0.701477659099457,0.013435028842544404,0.025232344732984722
WROL2019_138,CT-EBRA,2020-06-05,Connecticut,139.3335,18.41909453,3,73001057.0,2.183472,1.5670832929625683e-05,0.0,2.437,6,0.6124197114552496,0.013435028842544404,0.016836293097920108
WROL2019_139,CT-POPE,2020-06-05,Connecticut,11.1456,2.509802642,1,73001606.0,0.101952,9.147286821705429e-06,12.5,1.217,6,0.3725623431332837,0.03195406377964115,0.008969236421648695
WROL2019_140,CT-W9,2020-06-06,Connecticut,0.41,1.049253708,1,73001606.0,1.028826777,0.002509333602439,12.6,1.192,6,0.3725623431332837,0.03217632186977603,0.0037757802658084255
WROL2019_145,DES-BFA,2020-05-07,Deschutes,3606.912,1696.259534,5,78024103.0,41.3472,1.1463323751730011e-05,11.7,1.404,5,0.5082677899330216,0.030230386382686904,4.203704403284292
WROL2019_146,WHY-SIS,2020-05-07,Deschutes,166.2804,20.90597531,3,78023762.0,1.200768,7.221344187288461e-06,3.6,0.893,5,0.2000065264841014,0.017242863951026054,0.07509731773313207
WROL2019_147,DES-MAD,2020-05-07,Deschutes,18388.1277,3647.433427,6,78021674.0,107.8992,5.8678731059715226e-06,12.5,0.752,5,0.6290291567322173,0.03195406377964115,7.720251591345648
WROL2019_148,TRO-GAT,2020-05-07,Deschutes,1668.3183,54.84274906,5,78021831.0,0.611712,3.666638434644037e-07,17.6,3.368,5,0.3192723495943937,0.045504190775519295,0.3256852285948777
WROL2019_149,DES-MOO,2020-05-13,Deschutes,25189.3503,2929.261242,6,78020390.0,137.0688,5.441537727950054e-06,15.4,0.978,5,0.8060513415161334,0.03906832541293053,5.915738320438119
WROL2019_150,WIL-POR,2020-06-21,Willamette,28921.6503,1358.591738,7,78020394.0,600.384,2.0758981378043974e-05,17.5,1.359,6,1.467647204942807,0.0451898703701034,1.7429990531598831
WROL2019_151,DES-MOO,2020-06-21,Deschutes,25189.3503,2930.936247,6,78020390.0,126.024,5.003066712681351e-06,17.0,0.9,6,0.7678530501045489,0.04365053748988732,6.942351714341891
WROL2019_152,DES-MOO,2020-07-30,Deschutes,25189.3503,2932.884451,6,78020390.0,114.4128,4.542110004321946e-06,18.7,0.901,7,0.7153324255922929,0.049109407564224695,8.38958531084797
WROL2019_153,WIL-POR,2020-07-30,Willamette,28921.6503,1375.907652,7,78020394.0,199.0896,6.883756560738167e-06,23.8,1.28,7,1.2885060165851998,0.0699342614474905,3.111584405505963
WROL2019_154,DES-MOO,2020-09-03,Deschutes,25189.3503,2932.884451,6,78020390.0,114.4128,4.542110004321946e-06,17.4,0.764,9,0.6697239667152547,0.04487772113432215,8.188769867178767
WROL2019_155,WIL-POR,2020-09-03,Willamette,28921.6503,1375.118806,7,78020394.0,208.7184,7.216683620574721e-06,22.2,1.039,9,1.1296982855272315,0.06259291731233554,3.174619675790446
WROL2019_162,CT-EBRA,2019-08-05,Connecticut,139.3335,20.39356396,3,73001057.0,0.93456,6.707360397894261e-06,19.0,2.428,8,0.5018111954652876,0.05014130060936998,0.08490575657532573
WROL2019_164,CT-POPE,2019-08-06,Connecticut,11.1456,1.724717251,1,73001606.0,0.029736,2.667958656330749e-06,12.1,0.789,8,0.3227173668394359,0.03108027822519568,0.006921006006207207
WROL2019_165,CT-W9,2019-08-06,Connecticut,0.41,1.013016508,1,73001606.0,1.006417071,0.0024546757829268,14.6,1.133,8,0.3227173668394359,0.03696088800166685,0.004834208085173651
WROL2019_166,CT-PASS,2019-08-06,Connecticut,1125.1035,34.15335344,4,73001343.0,4.84272,4.304244009551121e-06,23.6,2.246,8,0.6065613327913051,0.06897145580410424,0.1618142565861642
WROL2019_167,CT-UNIO,2019-08-28,Connecticut,978.5736,6371.400841,5,73003731.0,3.05856,3.125528830943324e-06,19.56,3.212,8,0.6188087388696314,0.0521258649664427,22.362508735447786
WROL2019_168,CT-PHEL,2019-08-28,Connecticut,7.8183,2.765008583,1,73004283.0,2.103228488,0.0002690135308187202,,2.111,8,0.37522602474613,,
WROL2019_169,CT-BUNN,2019-08-28,Connecticut,10.5084,1.705751145,1,,0.0263376,2.5063377869133265e-06,16.04,1.102,8,,0.04084046856850904,
WROL2019_170,CT-NEPA,2019-08-28,Connecticut,62.0703,5.044340825,3,73004283.0,0.1112976,1.7930894485768554e-06,16.99,2.437,8,0.37522602474613,0.04362029172649007,0.024433675065494972
WROL2019_171,CT-STIL,2019-08-28,Connecticut,222.6708,3513.845511,4,73003738.0,0.433296,1.9459039981892557e-06,,3.379,8,0.4081643806242507,,
WROL2019_172,CT-THOM,2019-08-29,Connecticut,25008.6483,28316.52807,6,73003672.0,93.456,3.736947270356871e-06,24.25,2.818,8,1.1274943582547414,0.07215000119223945,75.50065620627649
WROL2019_173,CT-FARM,2019-08-29,Connecticut,1492.9416,4808.905563,5,73003727.0,6.99504,4.685407654257876e-06,21.75,2.722,8,0.7383287415186378,0.060670677363105385,16.465088735535534
WROL2019_174,CT-MOOS,2019-11-04,Connecticut,208.9341,28.31677984,3,73001351.0,5.01264,2.3991488225234656e-05,4.2,6.098,11,0.5775028341066015,0.017975095287786323,0.036723976764452174
WROL2019_175,CT-PASS,2019-11-04,Connecticut,1125.1035,27.08738278,4,73001343.0,33.4176,2.970180076766271e-05,5.5,3.972,11,0.615603931068825,0.019670033552986174,0.03606280632555037
WROL2019_176,CT-W9,2019-11-05,Connecticut,0.41,1.097538851,1,73001606.0,1.062018884,0.0025902899609756,6.2,1.574,11,0.3280930405368482,0.0206479623879951,0.002877987099549865
WROL2019_177,CT-POPE,2019-11-05,Connecticut,11.1456,3.067212785,1,73001606.0,0.1775664,1.5931524547803617e-05,6.2,1.797,11,0.3280930405368482,0.0206479623879951,0.008042903281976314
WROL2019_178,CT-THOM,2019-11-07,Connecticut,25008.6483,28292.62337,6,73003672.0,421.968,1.6872883129793145e-05,8.5,4.163,11,1.1499992845552396,0.024216651919065982,24.824385444925994
WROL2019_179,CT-FARM,2019-11-07,Connecticut,1492.9416,4803.560958,5,73003727.0,14.83968,9.939893161259622e-06,8.0,3.632,11,0.8032105277114157,0.023391743853553408,5.82888211526471
WROL2019_180,CT-STIL,2019-11-07,Connecticut,222.6708,3511.157809,4,73003738.0,3.22848,1.449889253552778e-05,7.3,3.987,11,0.4499666746423129,0.022283864035405696,7.245181294518936
WROL2019_181,CT-UNIO,2019-11-07,Connecticut,978.5736,6367.005748,5,73003731.0,9.26064,9.463406738133954e-06,8.4,4.075,11,0.6764733684528474,0.02404937528543532,9.431420228977386
WROL2019_182,CT-NEPA,2019-11-08,Connecticut,62.0703,7.573914382,3,73004283.0,0.359664,5.794462085731823e-06,4.6,3.753,11,0.405333702537307,0.018480444000833426,0.01438827848587867
WROL2019_183,CT-EBRA,2019-11-04,Connecticut,139.3335,16.81189732,3,73001057.0,4.6728,3.35368019894713e-05,5.8,3.947,11,0.5066687016416788,0.020083342770666226,0.027766261547306135
WROL2019_184,CT-SLPR,2019-11-04,Connecticut,120.4659,9.098926486,3,73001445.0,2.13816,1.7749089161331132e-05,3.9,2.592,11,0.4059489068849365,0.017605173175917047,0.016441742399121325
WROL2019_185,CT-PHEL,2019-11-08,Connecticut,7.8183,2.765008583,1,73004283.0,2.103228488,0.0002690135308187202,3.7,5.484,11,0.405333702537307,0.01736279755435861,0.004935057620648001
WROL2019_186,CT-BUNN,2019-11-08,Connecticut,10.5084,2.902994438,1,,0.1416,1.3474934338243692e-05,4.3,3.047,11,,0.01810012196283481,
WROL2019_188,GUN-R32,2020-02-14,Gunnison,5509.3851,1653.874478,6,77013519.0,9.26064,1.6808844965293858e-06,0.1,1.278,2,0.5045757676215096,0.01352847685817218,1.8476249453587177
WROL2019_189,EAS-ALM,2020-02-14,Gunnison,749.4102,33.74306341,4,77014019.0,1.75584,2.342962505714494e-06,0.8,0.722,2,0.466863210793505,0.014201067862031916,0.04276658935992229
WROL2019_190,EAS-RUS,2020-02-20,Gunnison,15.0255,1.52548547,1,77015865.0,0.036123083,2.404118531829224e-06,0.1,0.357,2,0.3626221052430421,0.01352847685817218,0.0023713270854127115
WROL2019_192,EAS-PUM,2020-02-15,Gunnison,86.7375,7.015940735,2,77015865.0,0.356503219,4.11013943219484e-06,0.1,0.471,2,0.3626221052430421,0.01352847685817218,0.010906095549081741
WROL2019_193,EAS-ROC,2020-02-20,Gunnison,4.6413,1.209772808,1,77015865.0,0.041156682,8.867490142847909e-06,0.1,0.973,2,0.3626221052430421,0.01352847685817218,0.001880560046767402
WROL2019_194,TAY-RES,2020-02-15,Gunnison,662.6592,10869.74142,5,77014098.0,2.77536,4.188216205253017e-06,2.5,1.759,2,0.3303980658751851,0.015977031889820574,21.901132709093204
WROL2019_195,GUN-GUN,2020-02-14,Gunnison,2645.9361,3385.753636,5,77013903.0,6.6552,2.5152534862803373e-06,0.0,1.089,2,0.5163890041590636,0.013435028842544404,3.6703352016798223
WROL2019_209,GUN-TUN,2019-10-20,Gunnison,10283.8923,5819.649746,6,77013467.0,12.036,1.17037398378822e-06,11.5,3.496,10,0.6122565372751906,0.029814195720076524,11.80797086855978
WROL2019_210,GUN-R32,2019-10-18,Gunnison,5509.3851,1652.755656,6,77013519.0,10.93152,1.98416335064325e-06,5.4,1.495,10,0.5371628706735883,0.019534162706465266,2.504299259199382
WROL2019_211,TAY-TAY,2019-10-18,Gunnison,331.3395,17.43868602,4,77014146.0,1.65672,5.000067906180821e-06,6.9,0.906,10,0.3550946599127173,0.02167451060150005,0.04435143494667349
WROL2019_212,GUN-GUN,2019-10-18,Gunnison,2645.9361,3384.628494,5,77013903.0,8.2128,3.103929834133183e-06,5.9,1.42,10,0.5522903383771293,0.02022303346661384,5.163909462559235
WROL2019_213,GUN-GRJ,2019-10-20,Gunnison,20481.6555,3296.905491,6,77013352.0,51.2592,2.502688320287391e-06,10.5,4.0,10,0.8482102377718406,0.02781762822296688,4.5051768590126775
WROL2019_215,TAY-RES,2019-10-18,Gunnison,662.6592,10869.1026,5,77014098.0,3.8232,5.769481507236298e-06,8.9,2.006,10,0.3601030342641058,0.024897474673308904,31.312011303712914
WROL2019_216,EAS-ALM,2019-10-18,Gunnison,749.4102,32.84134904,4,77014019.0,2.200464,2.9362610757099382e-06,9.9,1.03,10,0.4994165321901232,0.026684452639021947,0.07311477215357859
RC2_0001,T06,2021-04-20,Yakima,206.2035,17.9185943,3,78017752.0,15.23616,7.388894950861649e-05,4.3,1.0,4,0.655467596634691,0.01810012196283481,0.02061688123471758
RC2_0002,T05P,2021-04-20,Yakima,383.8644,50.86280385,4,78018214.0,132.36768,0.0003448292678352043,4.97,2.49,4,0.9584348932040816,0.01896053166098196,0.041925374448243444
RC2_0003,T41,2021-04-20,Yakima,2465.9001,23.00541749,6,,30.659232,1.2433282272870664e-05,7.9,2.94,4,,0.023230165276149302,
RC2_0004,T03,2021-04-21,Yakima,8977.0689,102.3336054,7,78018211.0,194.2752,2.1641273133149285e-05,8.0,1.85,4,1.0680317890858524,0.023391743853553408,0.09338679138537445
RC2_0005,T02,2021-04-21,Yakima,13461.462,153.7171554,7,78018972.0,163.9728,1.2180905758973284e-05,12.33,2.1,4,1.1784680609247176,0.03157974274055862,0.17163342475786506
RC2_0006,T07,2021-04-21,Yakima,14144.7249,169.5204046,7,78018963.0,186.912,1.3214254877449047e-05,13.57,2.16,4,1.255462252416101,0.03441409135467727,0.19361695526750863
RC2_0007,T06,2021-04-28,Yakima,206.2035,18.20223721,3,78017752.0,13.36704,6.482450588860034e-05,4.53,0.82,4,0.655467596634691,0.018390993510981012,0.02127979756570992
RC2_0008,T05P,2021-04-28,Yakima,383.8644,51.88158144,4,78018214.0,112.20384,0.00029230071869128785,5.13,1.75,4,0.9584348932040816,0.019171981043048944,0.04324205635075595
RC2_0009,T42,2021-04-28,Yakima,2465.9001,23.62773146,6,78017687.0,24.544944,9.953746301401263e-06,8.47,1.49,4,0.7089070902559226,0.024166347128127902,0.03356081307885806
RC2_0010,T03,2021-04-28,Yakima,8977.0689,101.7243533,7,78018211.0,204.1872,2.2745419721575268e-05,11.63,1.61,4,1.0680317890858524,0.030084062903108326,0.1193894646023975
RC2_0011,T02,2021-04-28,Yakima,13461.462,156.4470456,7,78018972.0,141.6,1.051891689030508e-05,13.33,1.87,4,1.1784680609247176,0.033846330223053875,0.1872189887650899
RC2_0012,T07,2021-04-28,Yakima,14144.7249,174.6020299,7,78018963.0,146.1312,1.0331144722369258e-05,15.13,1.98,4,1.255462252416101,0.03834396208609789,0.22219351218236957
RC2_0013,T06,2021-05-06,Yakima,206.2035,17.52301404,3,78017752.0,18.35136,8.899635554197675e-05,6.9,0.78,5,0.6785859749267195,0.02167451060150005,0.023320721790953434
RC2_0014,T05P,2021-05-06,Yakima,383.8644,50.19869473,4,78018214.0,147.6888,0.0003847421120583206,6.3,1.54,5,0.9706944628675538,0.020791580323954048,0.04480083733699584
RC2_0015,T42,2021-05-06,Yakima,2465.9001,22.94994648,6,78017687.0,31.282272,1.2685944576586862e-05,10.87,1.33,5,0.7333258411202042,0.028540278611877655,0.03721616810352271
RC2_0016,T03,2021-05-06,Yakima,8977.0689,101.4402722,7,78018211.0,209.0016,2.328171949309646e-05,13.57,1.66,5,1.0734017039958528,0.03441409135467727,0.13551057592335505
RC2_0017,T02,2021-05-06,Yakima,13461.462,157.8970615,7,78018972.0,131.1216,9.740517040422504e-06,14.4,1.83,5,1.1930440759283494,0.03645203653436004,0.20101483712254464
RC2_0018,T07,2021-05-06,Yakima,14144.7249,176.2121722,7,78018963.0,135.3696,9.570323987000978e-06,16.63,1.8,5,1.2693554280967472,0.04254528976886109,0.2460893983771202
RC2_0019,T06,2021-05-13,Yakima,206.2035,17.72490737,3,78017752.0,16.68048,8.089329230590169e-05,5.17,0.86,5,0.6785859749267195,0.019225210819511646,0.020923723100658258
RC2_0020,T05P,2021-05-13,Yakima,383.8644,52.31606934,4,78018214.0,104.67072,0.00027267628881448764,5.93,1.51,5,0.9706944628675538,0.020265129835803523,0.04550830952435071
RC2_0021,T42,2021-05-13,Yakima,2465.9001,23.43748958,6,78017687.0,26.255472,1.0647419171603913e-05,9.43,1.31,5,0.7333258411202042,0.025829136596228035,0.034396380951982865
RC2_0022,T03,2021-05-13,Yakima,8977.0689,106.3945466,7,78018211.0,140.4672,1.564733451026537e-05,13.77,1.64,5,1.0734017039958528,0.034894494167435106,0.14411286535600293
RC2_0023,T02,2021-05-13,Yakima,13461.462,167.4347376,7,78018972.0,80.4288,5.974744793693285e-06,18.73,1.91,5,1.1930440759283494,0.049211633956468145,0.2877700687614603
RC2_0024,T07,2021-05-13,Yakima,14144.7249,188.1350357,7,78018963.0,78.4464,5.545982728868767e-06,19.17,1.91,5,1.2693554280967472,0.050735635525244516,0.3133201304879308
RC2_0025,T06,2021-05-20,Yakima,206.2035,17.62297368,3,78017752.0,17.50176,8.487615389651485e-05,4.77,0.85,5,0.6785859749267195,0.0186994964186422,0.020234523540573524
RC2_0026,T05P,2021-05-20,Yakima,383.8644,51.79891659,4,78018214.0,113.7048,0.00029621084945621423,5.1,1.31,5,0.9706944628675538,0.01913215545107766,0.04253934349356065
RC2_0027,T42,2021-05-20,Yakima,2465.9001,23.55072921,6,78017687.0,25.221792,1.0228229440438404e-05,7.5,1.21,5,0.7333258411202042,0.0225949351850517,0.030234808902035625
RC2_0028,T03,2021-05-20,Yakima,8977.0689,104.3941189,7,78018211.0,164.5392,1.832883336787133e-05,9.9,1.56,5,1.0734017039958528,0.026684452639021947,0.10813363686094907
RC2_0029,T02,2021-05-20,Yakima,13461.462,160.358667,7,78018972.0,115.2624,8.562398348708335e-06,13.47,1.79,5,1.1930440759283494,0.03417637586161457,0.19140386996302355
RC2_0030,T07,2021-05-20,Yakima,14144.7249,177.6834874,7,78018963.0,126.3072,8.929632841427689e-06,14.6,1.81,5,1.2693554280967472,0.03696088800166685,0.21557330503377198
RC2_0031,T06,2021-05-27,Yakima,206.2035,17.75768919,3,78017752.0,16.4256,7.965723181226312e-05,5.63,0.77,5,0.6785859749267195,0.019848079494420398,0.021641572801343236
RC2_0032,T05P,2021-05-27,Yakima,383.8644,50.88635995,4,78018214.0,131.85792,0.00034350129889617275,5.97,1.24,5,0.9706944628675538,0.020321394669819647,0.04438754260530677
RC2_0033,T42,2021-05-27,Yakima,2465.9001,23.97153248,6,78017687.0,21.761088,8.82480518979662e-06,9.13,1.12,5,0.7333258411202042,0.02529758065149105,0.03445613476804342
RC2_0034,T03,2021-05-27,Yakima,8977.0689,101.741297,7,78018211.0,203.904,2.2713872676191667e-05,13.77,1.34,5,1.0734017039958528,0.034894494167435106,0.13780997526903419
RC2_0035,T02,2021-05-27,Yakima,13461.462,159.8463091,7,78018972.0,118.3776,8.793814520295047e-06,16.23,1.56,5,1.1930440759283494,0.04138188658277204,0.23101765361238363
RC2_0036,T07,2021-05-27,Yakima,14144.7249,179.1744388,7,78018963.0,117.8112,8.328984892452735e-06,17.4,1.58,5,1.2693554280967472,0.04487772113432215,0.26394434532419664
RC2_0037,T06,2021-06-03,Yakima,206.2035,16.39186605,3,78017752.0,32.0016,0.00015519426197906438,6.27,1.58,6,0.6578373168410167,0.020748390369167386,0.021541853065189326
RC2_0038,T05P,2021-06-03,Yakima,383.8644,49.23718287,4,78018214.0,173.51664,0.0004520258716359215,8.4,1.32,6,0.92762201963175,0.02404937528543532,0.05318812798469332
RC2_0039,T42,2021-06-03,Yakima,2465.9001,23.29594772,6,78017687.0,27.614832,1.1198682379711978e-05,12.43,1.51,6,0.7096617414508734,0.03179939722196887,0.04349472971540708
RC2_0040,T03,2021-06-03,Yakima,8977.0689,100.9879873,7,78018211.0,216.9312,2.4165036763837244e-05,16.53,1.59,6,1.03157350337468,0.042251407985650066,0.17234531515460363
RC2_0041,T02,2021-06-03,Yakima,13461.462,161.0828996,7,78018972.0,111.0144,8.246830841999182e-06,21.67,1.62,6,1.1485955536951673,0.0603351787508056,0.3525670078049164
RC2_0042,T07,2021-06-03,Yakima,14144.7249,182.0686142,7,78018963.0,103.0848,7.287861780896142e-06,23.47,1.58,6,1.2208771230074285,0.06835275172322915,0.42472506543591476
RC2_0043,T06,2021-06-10,Yakima,206.2035,18.62961404,3,78017752.0,11.01648,5.3425281336155785e-05,6.5,0.59,6,0.6578373168410167,0.021081819969289057,0.02487609520077445
RC2_0044,T05P,2021-06-10,Yakima,383.8644,53.48371031,4,78018214.0,87.084,0.0002268613604178976,9.73,1.05,6,0.92762201963175,0.02637186166129625,0.06335487315854209
RC2_0045,T42,2021-06-10,Yakima,2465.9001,25.76045282,6,78017687.0,11.945376,4.844225441249628e-06,13.37,1.08,6,0.7096617414508734,0.033940302389404896,0.05133417252018856
RC2_0046,T03,2021-06-10,Yakima,8977.0689,109.0464183,7,78018211.0,114.4128,1.2745006334974214e-05,15.77,1.39,6,1.03157350337468,0.04008324804858634,0.17654803637476185
RC2_0048,T07,2021-06-10,Yakima,14144.7249,200.7928053,7,78018963.0,45.5952,3.223477326165601e-06,19.5,1.69,6,1.2208771230074285,0.051909529756667024,0.355723080331019
RC2_0049,T02,2021-06-17,Yakima,13461.462,163.8574895,7,78018972.0,96.288,7.152863485407454e-06,17.83,1.63,6,1.1485955536951673,0.04623544962809457,0.2748292859915718
RC2_0050,T06,2021-06-17,Yakima,206.2035,18.16556295,3,78017752.0,13.5936,6.592322632739019e-05,7.7,0.7,6,0.6578373168410167,0.02291034872612445,0.02636032821340174
RC2_0051,T05P,2021-06-17,Yakima,383.8644,55.25737725,4,78018214.0,66.35376,0.00017285729023061266,11.2,1.1,6,0.92762201963175,0.02920062844447223,0.07247699438927696
RC2_0052,T42,2021-06-17,Yakima,2465.9001,25.95709112,6,78017687.0,11.211888,4.5467730018746505e-06,14.3,1.02,6,0.7096617414508734,0.036200243925669624,0.05517024140166132
RC2_0053,T03,2021-06-17,Yakima,8977.0689,105.1292345,7,78018211.0,155.1936,1.7287780870212545e-05,17.43,1.34,6,1.03157350337468,0.0449711388265977,0.1909615659946926
RC2_0054,T07,2021-06-17,Yakima,14144.7249,182.7402808,7,78018963.0,99.9696,7.067624199605325e-06,21.0,1.76,6,1.2208771230074285,0.05759722952739513,0.35921352835829834
RC2_0055,T06,2021-06-24,Yakima,206.2035,18.09422592,3,78017752.0,14.04672,6.812066720496985e-05,11.83,0.69,6,0.6578373168410167,0.03050402077120623,0.034959671966788244
RC2_0056,T05P,2021-06-24,Yakima,383.8644,53.8991089,4,78018214.0,81.64656,0.00021269635840156053,16.2,0.97,6,0.92762201963175,0.0412959247759902,0.09997847091457365
RC2_0057,T42,2021-06-24,Yakima,2465.9001,27.30547396,6,78017687.0,7.351872,2.981415183851122e-06,16.37,0.9,6,0.7096617414508734,0.04178541367395295,0.06699027968412131
RC2_0058,T03,2021-06-24,Yakima,8977.0689,105.2449315,7,78018211.0,153.7776,1.713004564329455e-05,17.13,1.23,6,1.03157350337468,0.044045646172369314,0.18723746615887643
RC2_0059,T02,2021-06-24,Yakima,13461.462,168.9853583,7,78018972.0,74.4816,5.532950284300472e-06,23.47,1.52,6,1.1485955536951673,0.06835275172322915,0.41901223787248737
RC2_0060,T07,2021-06-24,Yakima,14144.7249,189.3095673,7,78018963.0,74.4816,5.265680352680454e-06,22.47,1.51,6,1.2208771230074285,0.06377537242009715,0.41204283685761106
RC2_0061,T06,2021-07-08,Yakima,206.2035,20.72542341,3,78017752.0,4.5312,2.1974408775796727e-05,15.17,0.56,7,0.5864267245356132,0.03845042163902329,0.05662125913179548
RC2_0062,T05P,2021-07-08,Yakima,383.8644,64.10056724,4,78018214.0,19.2576,5.0167715474526944e-05,16.53,0.94,7,0.8340679327355082,0.042251407985650066,0.13529769340281456
RC2_0063,T42,2021-07-08,Yakima,2465.9001,30.59893805,6,78017687.0,2.84616,1.1542073419762626e-06,18.13,0.99,7,0.6337129959613758,0.047206954707808696,0.0949748211361069
RC2_0064,T03,2021-07-08,Yakima,8977.0689,109.5426435,7,78018211.0,110.1648,1.227180065422022e-05,17.4,1.29,7,0.9184137959968512,0.04487772113432215,0.22303055862624485
RC2_0065,T02,2021-07-08,Yakima,13461.462,188.6692186,7,78018972.0,29.736,2.2089725469640667e-06,24.9,1.89,7,1.017326082908727,0.07547502965321472,0.583220689499802
RC2_0066,T07,2021-07-08,Yakima,14144.7249,216.7277395,7,78018963.0,24.12864,1.7058401750888772e-06,24.97,1.89,7,1.0797143856406828,0.07584212664392784,0.6343148430814619
RC2_0067,T06,2021-07-15,Yakima,206.2035,21.63174959,3,78017752.0,3.17184,1.5382086143057707e-05,16.63,0.47,7,0.5864267245356132,0.04254528976886109,0.06539102386312583
RC2_0068,T05P,2021-07-15,Yakima,383.8644,65.62563599,4,78018214.0,15.83088,4.1240813162147885e-05,20.67,0.97,7,0.8340679327355082,0.05629471232477216,0.18455612517629658
RC2_0069,T42,2021-07-15,Yakima,2465.9001,31.45289813,6,78017687.0,2.262768,9.17623548496551e-07,19.87,1.04,7,0.6337129959613758,0.05325804306506835,0.1101392253409805
