sample,NA,Lignin,Other,Tannin,Protein,Lignin_Amino Sugar,Lipid_Protein,Lipid,Cond_Hydrocarbon,Unsat_Hydrocarbon,Amino_Sugar,Carbohydrate,Tannin_Cond Hydrocarbon,Unsat Hydrocarbon_Cond Hydrocarbon,Protein_Amino Sugar,Carbohydrate_Amino Sugar,Protein_Lignin,Protein_Lignin_Amino Sugar,Lignin_Tannin
RC2_0200,1816,2233,767,419,1160,89,10,208,349,182,192,93,22,11,27,17,3,1,11
RC2_0201,1892,2523,937,497,918,87,8,157,561,208,176,99,26,9,26,15,5,1,9
RC2_0202,1787,2415,794,490,1021,91,7,153,503,189,203,99,26,15,27,17,4,1,11
RC2_0203,1715,2442,821,490,976,87,10,150,480,191,181,98,25,12,23,17,3,1,9
RC2_0204,1787,2493,831,457,1015,90,11,197,480,161,181,98,26,13,24,15,5,1,9
RC2_0205,1821,2575,927,473,1096,94,13,214,516,200,212,109,24,15,29,17,4,1,9
RC2_0206,1934,1865,676,352,1224,86,13,217,260,162,201,116,20,9,30,22,3,1,9
RC2_0207,1816,2411,783,530,928,92,8,153,476,167,188,92,23,15,24,16,3,1,10
RC2_0208,1684,2327,721,482,1001,87,8,151,458,184,162,84,23,8,23,17,4,1,10
RC2_0209,1748,2442,845,487,1055,90,11,171,509,193,184,92,24,12,28,16,2,1,9
RC2_0210,1807,2500,875,438,1102,91,9,186,523,214,198,98,23,16,25,18,5,1,9
RC2_0211,1821,2372,900,440,1089,96,10,178,463,176,219,133,24,17,28,18,4,1,10
WROL2019_001,2177,1114,560,260,804,49,10,199,242,68,112,87,19,5,17,7,1,1,8
WROL2019_002,854,298,141,20,296,12,1,100,22,13,42,11,0,0,5,0,1,1,2
WROL2019_003,1573,587,342,68,652,27,6,230,81,33,79,50,4,1,12,4,2,1,4
WROL2019_004,1446,1790,427,398,921,71,9,153,439,52,152,64,24,4,21,13,2,1,9
WROL2019_005,1424,1527,340,357,703,64,9,116,312,44,128,53,19,5,18,8,2,1,9
WROL2019_006,1535,537,275,50,697,33,8,155,53,37,88,35,2,1,14,5,1,1,5
WROL2019_007,1327,1255,310,193,820,58,11,105,150,30,132,50,12,3,24,10,2,1,9
WROL2019_008,1549,1052,313,172,871,44,11,137,163,60,124,54,12,2,23,7,2,1,9
WROL2019_009,1287,1378,314,260,938,57,12,127,221,56,141,50,19,2,26,10,3,1,8
WROL2019_010,1261,1856,372,323,685,74,5,80,319,44,129,59,17,7,17,9,2,1,8
WROL2019_011,1693,2006,431,296,821,72,6,103,332,55,137,60,17,4,21,8,5,1,10
WROL2019_012,1528,1610,563,513,707,58,10,169,457,63,113,84,26,11,14,13,3,1,10
WROL2019_013,1087,580,343,81,579,28,7,181,79,32,77,55,2,3,10,5,1,1,6
WROL2019_014,1203,979,360,187,742,45,10,193,123,50,117,51,14,5,18,11,1,1,9
WROL2019_015,1114,755,346,139,671,37,7,161,110,44,99,54,8,2,15,6,2,1,8
WROL2019_016,1511,1264,508,245,815,54,11,189,215,77,137,96,14,5,20,11,2,1,9
WROL2019_017,1186,757,318,115,558,41,8,155,100,40,90,48,8,1,11,4,2,1,7
WROL2019_018,1147,1276,381,284,634,49,8,151,236,53,109,48,16,3,16,9,2,1,9
WROL2019_019,1474,1498,477,332,798,58,11,183,317,74,142,96,17,6,18,14,2,1,9
WROL2019_020,1626,1274,518,247,724,50,8,221,214,60,118,77,16,6,18,10,2,1,9
WROL2019_021,1564,1266,498,255,687,52,7,165,231,53,123,66,14,5,15,10,2,1,9
WROL2019_022,1187,803,321,131,565,35,3,102,111,32,82,62,2,4,12,4,2,1,7
WROL2019_023,1158,1612,439,375,682,59,7,142,288,58,116,66,21,4,16,7,2,1,9
WROL2019_024,940,388,169,10,540,23,6,94,19,12,71,19,0,0,10,3,2,1,2
WROL2019_025,1316,290,256,12,642,21,9,120,30,30,80,23,0,1,15,4,1,1,0
WROL2019_026,1124,318,191,5,568,24,5,105,22,20,74,24,1,1,11,5,1,1,0
WROL2019_029,1528,716,261,83,718,34,9,148,74,38,104,46,3,2,16,6,1,1,6
WROL2019_030,1569,1021,356,154,725,43,7,124,108,41,105,53,11,4,19,9,2,1,8
WROL2019_033,1301,745,245,75,877,39,8,138,51,42,131,38,3,0,24,11,2,1,6
WROL2019_034,1559,792,287,101,783,43,7,145,53,50,116,65,5,2,18,14,1,1,6
WROL2019_035,1727,1332,375,274,831,50,8,182,215,52,130,57,15,1,20,8,2,1,8
WROL2019_036,1473,962,299,182,928,43,14,162,109,56,126,53,11,1,24,12,2,1,7
WROL2019_037,1119,560,160,69,478,31,3,73,25,9,56,19,0,0,10,2,1,1,6
WROL2019_042,1065,319,201,10,580,22,3,91,25,20,75,30,0,1,15,7,1,1,0
WROL2019_043,1434,1116,307,166,883,46,7,127,169,49,134,57,14,3,25,9,2,1,7
WROL2019_044,879,453,169,24,559,28,5,56,19,15,81,25,2,1,12,5,1,1,2
WROL2019_045,1127,558,162,61,480,34,6,91,47,15,69,21,3,2,7,2,1,1,5
WROL2019_046,735,222,147,7,619,24,5,60,12,18,90,25,0,0,16,3,1,0,0
WROL2019_048,1347,693,270,83,715,38,5,109,45,29,112,37,1,2,18,8,1,2,7
WROL2019_049,1421,2062,365,337,749,74,5,95,289,52,112,56,18,3,20,7,3,1,15
WROL2019_050,1720,803,354,127,792,37,8,166,68,47,107,54,6,2,21,8,1,1,7
WROL2019_051,1174,1524,393,427,633,62,5,130,276,41,106,44,21,4,16,7,2,1,10
WROL2019_052,1081,1255,343,409,686,54,7,152,238,44,109,45,23,2,15,7,2,1,10
WROL2019_053,1431,1157,482,279,699,49,10,188,198,51,111,73,17,4,13,5,2,1,9
WROL2019_054,1517,1218,461,278,911,54,14,277,159,66,131,73,19,4,23,10,2,1,9
WROL2019_055,1381,1224,435,272,703,51,7,166,177,49,117,80,12,2,17,11,2,1,9
WROL2019_056,1230,693,351,92,653,37,10,205,69,46,87,39,5,2,13,5,1,1,7
WROL2019_057,1229,1366,396,293,758,58,10,163,210,55,125,63,17,7,18,8,2,1,9
WROL2019_058,1163,1193,356,261,701,50,8,174,181,51,107,61,15,4,15,8,2,1,8
WROL2019_059,988,822,294,136,542,40,5,90,77,21,78,52,5,2,8,4,1,1,8
WROL2019_060,1352,1554,424,327,774,64,7,182,237,60,132,69,20,4,20,10,2,1,9
WROL2019_061,1310,1153,387,206,777,44,10,196,138,46,122,62,11,2,17,9,3,2,8
WROL2019_062,1499,948,310,127,847,47,10,151,69,42,130,56,7,1,20,10,2,1,7
WROL2019_063,1540,1739,441,384,777,65,10,149,341,47,129,78,20,5,21,7,2,1,9
WROL2019_064,1212,1893,461,421,654,67,7,117,365,62,114,49,24,3,20,7,1,1,9
WROL2019_065,1204,1738,448,427,725,67,10,160,344,60,111,54,25,4,17,9,2,1,9
WROL2019_066,1308,1494,388,372,667,62,7,138,270,69,115,59,21,6,16,7,2,1,9
WROL2019_067,1228,1559,406,349,691,64,7,127,242,54,121,52,22,6,16,8,2,1,9
WROL2019_068,1252,1840,462,438,704,73,7,119,361,73,130,65,23,6,18,9,3,1,9
WROL2019_069,1356,1827,458,423,709,65,8,143,325,70,111,49,25,4,16,8,2,1,9
WROL2019_070,1316,1683,440,399,768,67,9,146,294,55,135,64,24,4,18,9,2,1,9
WROL2019_071,1347,1758,489,432,766,67,9,171,348,77,130,67,24,7,19,12,2,1,9
WROL2019_072,1471,1822,512,413,776,71,7,142,346,64,146,91,18,6,20,10,3,1,9
WROL2019_073,1274,1496,404,337,759,61,9,169,267,56,115,65,20,4,19,6,2,1,8
WROL2019_074,1625,534,309,26,635,29,9,173,46,31,85,41,2,0,12,5,3,1,3
WROL2019_075,1341,629,293,30,712,34,5,153,46,32,109,34,0,1,16,8,1,1,4
WROL2019_076,1682,949,365,148,839,44,10,150,171,49,142,46,17,2,26,10,2,1,7
WROL2019_077,1175,711,228,61,661,35,7,109,52,24,99,48,2,1,14,8,1,1,4
WROL2019_078,1629,1690,418,366,851,56,9,172,412,66,136,75,23,6,21,11,2,1,9
WROL2019_079,1512,1418,380,272,803,50,10,165,302,55,114,68,21,5,20,7,2,1,9
WROL2019_080,1465,968,313,162,878,44,14,190,113,47,125,38,11,2,20,6,3,1,7
WROL2019_081,1517,1080,322,187,703,47,9,137,104,31,112,59,9,7,16,8,1,1,8
WROL2019_082,1178,2077,350,320,606,79,3,76,304,47,102,38,19,4,17,5,3,1,12
WROL2019_083,1675,1311,439,273,895,55,10,161,235,66,137,61,18,5,21,10,3,1,8
WROL2019_084,1136,1006,241,120,715,46,7,120,69,23,117,50,5,2,17,10,2,1,7
WROL2019_085,1251,1005,262,157,592,44,10,112,126,16,91,36,12,3,16,5,2,1,8
WROL2019_086,1560,1696,433,355,812,72,7,184,306,26,147,78,22,3,21,11,2,1,9
WROL2019_097,1506,1631,380,329,874,66,11,144,348,66,141,78,18,6,24,11,2,1,9
WROL2019_098,1441,1306,347,296,873,53,10,159,334,53,122,47,21,4,20,8,3,1,8
WROL2019_099,1728,1201,391,203,827,48,13,207,228,48,137,56,16,3,21,9,4,1,8
WROL2019_100,1735,1625,436,302,1043,63,12,169,283,84,165,67,18,4,27,14,3,1,9
WROL2019_101,1691,1589,404,280,992,67,12,148,286,70,149,66,18,5,24,10,2,1,9
WROL2019_102,1409,1892,410,373,802,71,7,126,420,55,137,54,22,5,21,6,3,1,10
WROL2019_103,1755,1691,462,322,886,62,9,164,317,62,130,57,21,5,20,9,6,1,10
WROL2019_104,1704,1500,401,257,884,62,12,200,214,56,144,69,13,6,22,13,2,1,8
WROL2019_105,1748,1382,436,330,899,56,11,194,272,62,138,56,19,5,22,10,2,1,9
WROL2019_106,1600,1152,365,230,946,47,11,171,175,60,130,42,15,3,24,9,2,1,9
WROL2019_107,1279,853,237,168,651,40,7,98,139,15,94,32,15,3,16,6,1,1,7
WROL2019_108,1849,1622,452,350,836,59,13,167,320,51,142,85,19,5,20,11,6,1,10
WROL2019_109,1466,1125,340,293,726,44,11,135,216,29,105,44,21,5,15,3,2,1,8
WROL2019_110,1254,775,204,105,536,38,5,100,63,18,69,24,10,3,10,3,2,1,8
WROL2019_111,2188,1007,528,187,1139,48,13,255,163,117,151,86,13,4,28,13,3,1,7
WROL2019_112,1576,1493,463,323,1145,59,13,205,282,97,170,82,17,5,28,14,2,1,9
WROL2019_113,1309,1019,288,201,604,45,3,118,154,32,102,50,14,5,15,8,2,1,8
WROL2019_114,1624,1376,412,269,976,60,10,158,213,53,153,74,17,4,28,11,2,1,9
WROL2019_115,1426,897,274,137,753,46,6,111,96,36,116,34,9,3,22,8,2,1,9
WROL2019_116,1574,962,366,135,837,42,9,231,187,35,129,45,14,1,20,11,4,1,7
WROL2019_117,1735,597,396,34,714,33,10,198,70,46,110,70,0,2,13,10,2,1,3
WROL2019_118,1465,783,244,85,609,38,8,127,77,28,85,24,4,1,16,3,2,1,7
WROL2019_119,1445,1154,338,155,887,54,11,161,187,46,157,77,10,2,26,14,2,1,8
WROL2019_120,1585,1602,396,327,842,61,10,202,404,51,137,69,23,8,18,9,3,1,9
WROL2019_121,1502,1077,323,209,701,50,9,107,149,35,113,45,16,3,14,8,4,1,8
WROL2019_122,1548,1031,354,229,680,46,6,135,140,39,107,62,13,2,16,8,4,1,8
WROL2019_123,1707,1203,375,280,937,53,11,181,203,56,150,52,19,1,21,12,2,1,9
WROL2019_124,1592,1307,380,314,740,49,9,143,242,39,117,55,21,3,15,7,2,1,9
WROL2019_125,1429,1764,385,385,727,67,7,98,362,47,117,44,24,6,18,7,1,1,10
WROL2019_126,1440,1544,407,373,839,62,9,125,337,52,139,66,23,7,22,13,2,1,9
WROL2019_128,1234,1369,332,278,719,55,7,116,261,37,124,54,18,4,17,6,2,1,8
WROL2019_130,1521,1491,421,326,954,60,12,137,301,64,145,60,21,5,27,11,2,1,9
WROL2019_134,1605,1350,383,287,823,58,9,146,267,59,131,52,20,5,22,11,2,1,9
WROL2019_135,1611,1395,414,262,947,59,12,141,258,67,133,56,17,4,23,10,2,1,8
WROL2019_136,1660,896,416,155,863,44,14,200,99,89,144,59,11,4,18,8,3,1,7
WROL2019_137,1636,1547,385,358,773,56,11,131,356,55,114,65,22,4,16,7,4,1,10
WROL2019_138,1378,1384,318,306,767,57,10,103,280,48,119,48,21,5,20,7,2,1,9
WROL2019_139,1608,788,281,142,660,42,6,138,94,43,96,35,9,1,14,4,2,1,8
WROL2019_140,1444,586,249,84,667,37,5,109,39,42,92,25,4,0,15,7,1,1,6
WROL2019_145,1450,1253,337,226,891,53,11,168,254,52,146,79,18,3,20,16,2,1,8
WROL2019_146,1779,1001,391,151,881,47,8,144,186,52,131,49,17,2,24,8,2,2,8
WROL2019_147,1759,1281,398,210,809,54,9,182,147,54,135,61,10,3,23,9,2,1,8
WROL2019_148,1175,2160,349,367,654,81,7,77,319,58,122,52,18,3,18,5,2,2,13
WROL2019_149,1506,1325,369,221,889,55,10,207,183,51,142,69,17,3,20,11,3,1,9
WROL2019_150,1229,1086,237,198,631,44,8,120,160,27,92,27,15,2,13,4,3,1,8
WROL2019_151,1319,785,248,86,879,41,9,136,47,35,123,33,5,0,25,12,2,1,5
WROL2019_152,1772,1032,357,121,765,45,8,170,98,49,115,56,6,0,22,12,3,1,7
WROL2019_153,1383,1519,341,300,805,64,10,128,240,29,146,74,17,4,26,11,2,1,9
WROL2019_154,1219,1108,259,140,629,46,9,99,86,22,105,52,9,1,13,7,2,1,7
WROL2019_155,1591,1825,490,422,1110,78,14,195,338,63,185,132,20,5,25,16,3,1,11
WROL2019_162,1962,2040,807,450,775,78,8,202,614,200,121,66,27,20,21,10,6,2,11
WROL2019_164,1523,760,267,139,406,38,4,123,88,28,64,45,3,2,4,5,3,1,9
WROL2019_165,1494,1415,343,325,768,60,10,166,256,35,124,45,18,4,18,4,2,1,11
WROL2019_166,1509,1702,412,348,944,68,12,145,341,58,152,64,18,4,22,14,2,1,9
WROL2019_167,1723,1785,585,349,775,71,8,146,425,78,146,75,20,6,22,13,3,1,10
WROL2019_168,1599,1692,377,334,805,62,8,146,417,59,136,64,20,6,19,13,3,1,10
WROL2019_169,1310,930,280,128,935,46,12,127,93,46,135,54,7,2,23,9,2,1,7
WROL2019_170,1341,2021,411,412,824,80,7,114,416,65,140,75,26,7,21,8,2,1,11
WROL2019_171,1392,1767,387,338,840,71,7,137,326,50,144,64,21,5,23,12,3,1,9
WROL2019_172,1451,1598,380,277,757,60,10,130,280,53,114,63,18,5,18,9,5,1,9
WROL2019_173,1920,1871,573,306,1003,70,13,268,360,74,161,97,18,7,24,12,3,1,10
WROL2019_174,1412,1678,375,401,779,65,9,113,358,51,129,51,23,4,21,7,2,1,9
WROL2019_175,2296,1955,845,427,1021,76,12,189,497,210,162,98,29,19,29,13,4,2,12
WROL2019_176,1465,1412,366,325,745,64,9,117,255,35,124,48,20,5,17,7,2,1,9
WROL2019_177,1336,1509,342,316,899,62,10,121,234,47,149,49,20,3,25,11,2,1,8
WROL2019_178,1234,1949,415,477,774,72,9,96,397,48,134,55,24,5,19,8,3,1,10
WROL2019_179,1621,2163,470,411,866,77,10,130,441,68,139,61,21,5,19,8,5,1,10
WROL2019_180,1448,1973,488,412,868,85,8,141,408,75,166,90,24,6,22,11,2,1,12
WROL2019_181,1513,1646,423,351,856,72,11,142,341,72,140,80,20,6,20,10,3,1,9
WROL2019_182,1483,1664,406,348,949,67,10,136,321,68,155,87,21,6,24,17,2,1,9
WROL2019_183,1462,2009,547,505,733,88,4,105,517,84,157,69,26,7,25,11,2,1,11
WROL2019_184,1562,1919,516,372,694,76,4,142,360,78,124,80,23,9,16,9,2,2,10
WROL2019_185,2065,2070,851,499,780,83,9,189,633,224,152,84,26,21,20,9,4,1,15
WROL2019_186,1578,2126,486,440,840,81,8,115,426,58,142,69,23,6,20,9,2,1,13
WROL2019_188,1436,1782,359,302,715,73,6,113,292,47,126,57,18,4,19,7,2,1,10
WROL2019_189,1311,1319,262,178,654,57,8,111,99,22,123,45,9,4,17,9,2,1,10
WROL2019_190,1215,865,222,124,737,42,10,108,55,22,107,33,9,0,17,4,2,1,8
WROL2019_192,1427,1015,267,170,537,47,7,106,107,25,94,37,11,1,10,5,1,1,8
WROL2019_193,1250,1663,284,344,463,66,5,99,298,29,85,25,22,3,12,3,2,1,9
WROL2019_194,1549,1662,421,292,902,68,10,148,313,83,158,83,18,3,26,12,2,1,8
WROL2019_195,1724,2058,520,348,839,84,8,152,383,99,155,76,20,8,26,9,3,1,11
WROL2019_209,1604,2131,605,362,764,75,7,121,443,103,149,86,18,2,23,9,6,1,9
WROL2019_210,1574,1896,415,324,783,79,8,117,324,84,145,72,19,8,21,11,2,1,10
WROL2019_211,1551,1177,385,222,868,56,10,145,225,57,132,64,18,4,21,12,2,1,10
WROL2019_212,1481,1827,374,327,772,76,6,128,321,48,147,70,19,7,19,10,2,1,9
WROL2019_213,1532,910,255,172,576,47,4,107,92,23,101,43,8,1,12,6,2,1,9
WROL2019_215,1571,2080,593,400,895,80,8,116,514,105,166,77,24,10,25,14,2,2,9
WROL2019_216,1372,1332,271,178,626,61,9,98,142,27,107,55,11,4,16,7,2,1,8
WROL2019_1001,1477,1559,358,309,720,66,5,120,241,34,125,59,20,3,20,12,2,1,9
WROL2019_1002,1329,1013,289,185,671,50,5,94,115,29,126,58,13,2,17,11,2,1,8
WROL2019_1003,1443,1161,271,207,748,51,8,134,151,34,127,50,15,2,19,7,2,1,8
WROL2019_1004,2118,2489,922,393,830,98,7,177,533,227,165,92,23,17,23,11,5,2,14
RC2_0001,1946,2205,572,413,764,84,7,140,320,115,146,93,22,9,20,9,3,1,10
RC2_0002,1974,2283,633,479,807,85,6,103,411,123,155,85,25,7,22,10,4,1,10
