sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
WROL2019_001,EAS-ROC,2019-08-16,Gunnison,4.6413,1.362010423,1,77015865,0.088205359,1.900445112360761e-5,6.9,1.304
WROL2019_002,EAS-RUS,2019-08-16,Gunnison,15.0255,3.978222262,1,77015865,0.625026404,4.1597710824930955e-5,4.9,0.692
WROL2019_003,EAS-BRA,2019-08-16,Gunnison,4.9086,1.309562334,1,77015865,0.066143703,1.3475064784256204e-5,6,0.4
WROL2019_004,TAY-TAY,2019-08-16,Gunnison,331.3395,16.13118603,4,77014146,3.17184,9.572779581064136e-6,14.2,1.338
WROL2019_005,TAY-RES,2019-08-16,Gunnison,662.6592,10867.11463,5,77014098,11.29968,1.705202312138728e-5,9.8,2.828
WROL2019_006,EAS-PUM,2019-08-17,Gunnison,86.7375,11.71592212,2,77015865,1.639672922,1.8903852681942644e-5,7.8,0.548
WROL2019_007,EAS-ALM,2019-08-17,Gunnison,749.4102,28.02879015,4,77014019,8.24112,1.0996807889724479e-5,12.5,1.238
WROL2019_008,GUN-GUN,2019-08-18,Gunnison,2645.9361,3379.09085,5,77013903,25.17648,9.515150422566895e-6,13.4,1.777
WROL2019_009,GUN-R32,2019-08-17,Gunnison,5509.3851,1646.4025,6,77013519,30.0192,5.448738734927061e-6,14.8,2.004
WROL2019_010,GUN-TUN,2019-08-18,Gunnison,10283.8923,5812.244383,6,77013467,28.8864,2.8088975610917276e-6,12.4,3.356
WROL2019_011,GUN-GRJ,2019-08-18,Gunnison,20481.6555,3297.556283,6,77013352,48.9936,2.3920722619321466e-6,21.2,4.427
WROL2019_012,HJA-WS2,2019-09-04,Willamette,0.6,1.001863151,1,78023871,9.10724e-4,1.5178733333333336e-6,14.5,1.572
WROL2019_013,LOO-BLU,2019-09-04,Willamette,63.5697,3.281202644,3,78023871,0.2030544,3.1942010108589472e-6,15.2,0.534
WROL2019_014,HJA-WS1,2019-09-04,Willamette,0.96,1.00034366,1,78023871,3.58504e-4,3.7344166666666665e-7,15.6,0.673
WROL2019_015,BLU-TID,2019-09-04,Willamette,119.3625,8.740677086,3,78023561,0.55159734,4.621194596292806e-6,18.5,0.613
WROL2019_016,BLU-BLU,2019-09-04,Willamette,227.9673,2968.096387,4,78023549,16.62384,7.292203750274711e-5,12.3,0.705
WROL2019_017,MCK-WAL,2019-09-04,Willamette,2730.9312,1296.781968,5,78023324,40.2144,1.4725526589611631e-5,14.4,0.612
WROL2019_018,WIL-JAS,2019-09-06,Willamette,3494.8566,2004.222406,5,78023216,63.4368,1.815147436950632e-5,19.6,1.374
WROL2019_019,WIL-GOS,2019-09-06,Willamette,1664.3106,1442.971526,5,78023308,14.13168,8.491011233119585e-6,22.9,1.756
WROL2019_020,WIL-HAR,2019-09-04,Willamette,8825.7501,1558.662617,6,78023210,144.1488,1.6332753405288466e-5,18.5,1.074
WROL2019_021,WIL-COR,2019-09-06,Willamette,11376.3474,1413.11963,6,78022384,149.2464,1.3119008654746249e-5,20.1,1.087
WROL2019_022,WIL-POR,2019-09-07,Willamette,28921.6503,1377.864258,7,78020394,177.2832,6.129774689931853e-6,23.5,1.559
WROL2019_023,WIL-HAR,2020-01-24,Willamette,8825.7501,1546.366273,6,78023210,640.032,7.25187086364478e-5,7.7,1.527
WROL2019_024,DES-LAP,2019-09-10,Deschutes,106.623,24.21272167,2,78024269,3.48336,3.266987422976281e-5,10.7,0.612
WROL2019_025,CUL-LAP,2019-09-10,Deschutes,52.0434,6.45830809,2,78024783,1.608576,3.090835725567507e-5,8.7,0.132
WROL2019_026,BRO-LAP,2019-09-10,Deschutes,51.8805,8.354017596,2,78024593,0.719328,1.3865093821377974e-5,8.2,0.196
WROL2019_029,DES-BFA,2019-09-10,Deschutes,3606.912,1695.814168,5,78024103,44.4624,1.232699882891515e-5,16.3,1.197
WROL2019_030,DES-MAD,2019-09-11,Deschutes,18388.1277,3647.18935,6,78021674,109.8816,5.975681798207221e-6,13.5,0.865
WROL2019_033,DES-MOO,2019-09-11,Deschutes,25189.3503,2930.712499,6,78020390,127.44,5.059280945408108e-6,17.9,1.073
WROL2019_034,DES-MOO,2019-10-01,Deschutes,25189.3503,2930.014788,6,78020390,131.9712,5.23916649013373e-6,11.4,0.791
WROL2019_035,WIL-POR,2019-10-01,Willamette,28921.6503,1373.252903,7,78020394,233.64,8.078377187210508e-6,17,1.413
WROL2019_036,WIL-POR,2019-11-10,Willamette,28921.6503,1368.18034,7,78020394,320.016,1.1064928753391364e-5,8.9,1.371
WROL2019_037,DES-MOO,2019-11-10,Deschutes,25189.3503,2929.675924,6,78020390,134.2368,5.3291092624965395e-6,10.5,0.84
WROL2019_042,CUL-LAP,2019-11-20,Deschutes,52.0434,6.637796703,2,78024783,1.280064,2.4596087111910445e-5,5.2,0.209
WROL2019_043,BRO-LAP,2019-11-20,Deschutes,51.8805,8.369945509,2,78024593,0.708,1.3646745887183047e-5,3.7,0.272
WROL2019_044,DES-WIC,2019-11-20,Deschutes,662.4486,3736.848555,4,78024218,3.05856,4.617052553209411e-6,6.1,0.913
WROL2019_045,LDS-LAP,2019-11-20,Deschutes,1862.1909,1062.860069,4,78024191,1.93992,1.041740672237202e-6,4.3,1.174
WROL2019_046,DES-BFA,2019-11-21,Deschutes,3606.912,1703.329445,5,78024103,14.10336,3.910092622165443e-6,4.1,0.56
WROL2019_048,DES-MAD,2019-11-21,Deschutes,18388.1277,3646.616561,6,78021674,114.696,6.237502907922485e-6,9.9,0.663
WROL2019_049,TRO-GAT,2019-11-21,Deschutes,1668.3183,59.73336248,5,78021831,0.300192,1.7993688614456848e-7,8.8,2.345
WROL2019_050,DES-MOO,2019-11-21,Deschutes,25189.3503,2930.186672,6,78020390,130.8384,5.194195103952325e-6,9.7,0.79
WROL2019_051,HJA-WS1,2019-12-10,Willamette,0.96,1.006367473,1,78023871,0.002788812,2.9050125e-6,5.4,1.417
WROL2019_052,HJA-WS2,2019-12-10,Willamette,0.6,1.003690686,1,78023871,0.002223808,3.7063466666666662e-6,5,2.127
WROL2019_053,BLU-TID,2019-12-10,Willamette,119.3625,7.806868333,3,78023561,1.414242899,1.1848301593884177e-5,4,1.139
WROL2019_054,LOO-BLU,2019-12-10,Willamette,63.5697,4.396441643,3,78023871,0.50976,8.01891467161242e-6,4,0.805
WROL2019_055,BLU-BLU,2019-12-10,Willamette,227.9673,2970.162157,4,78023549,1.665216,7.304626584602266e-6,4.8,0.939
WROL2019_056,MCK-WAL,2019-12-05,Willamette,2730.9312,1299.005491,5,78023324,30.0192,1.0992294496470654e-5,5.9,0.529
WROL2019_057,WIL-GOS,2019-12-05,Willamette,1664.3106,1448.112645,5,78023308,5.664,3.4032109150779907e-6,6.7,1.724
WROL2019_058,WIL-JAS,2019-12-05,Willamette,3494.8566,2006.278624,5,78023216,45.0288,1.2884305467640646e-5,8.4,1.238
WROL2019_059,WIL-HAR,2019-12-05,Willamette,8825.7501,1561.667805,6,78023210,103.9344,1.1776268172378913e-5,7.1,0.989
WROL2019_060,WIL-COR,2019-12-06,Willamette,11376.3474,1416.196337,6,78022384,113.5632,9.982395579797431e-6,6.7,1.162
WROL2019_061,WIL-POR,2019-12-08,Willamette,28921.6503,1374.262672,7,78020394,219.7632,7.598570542151946e-6,5.5,1.292
WROL2019_062,DES-MOO,2019-12-27,Deschutes,25189.3503,2929.057484,6,78020390,138.4848,5.497751960676811e-6,6.7,0.573
WROL2019_063,WIL-POR,2019-12-27,Willamette,28921.6503,1358.116061,7,78020394,620.208,2.144441944241335e-5,6.9,NA
WROL2019_064,WIL-GOS,2020-01-22,Willamette,1664.3106,1433.182769,5,78023308,112.9968,6.789405775580591e-5,7.2,NA
WROL2019_065,WIL-JAS,2020-01-22,Willamette,3494.8566,1998.840291,5,78023216,167.3712,4.7890720323117116e-5,6.8,NA
WROL2019_066,HJA-WS2,2020-01-23,Willamette,0.6,1.093918445,1,78023871,0.151096374,2.5182729e-4,6.6,1.347
WROL2019_067,HJA-WS1,2020-01-23,Willamette,0.96,1.183851258,1,78023871,0.225129978,2.3451039375000003e-4,7.5,1.327
WROL2019_068,BLU-TID,2020-01-23,Willamette,119.3625,5.649938669,3,78023561,20.9314839,1.753606358781024e-4,5.8,1.368
WROL2019_069,LOO-BLU,2020-01-23,Willamette,63.5697,10.37971288,3,78023871,9.23232,1.4523145460809157e-4,3.7,1.392
WROL2019_070,BLU-BLU,2020-01-23,Willamette,227.9673,2967.442973,4,78023549,40.2144,1.764042474512792e-4,5.9,1.226
WROL2019_071,MCK-WAL,2020-01-23,Willamette,2730.9312,1286.364236,5,78023324,184.9296,6.771668213391828e-5,6.7,1.007
WROL2019_072,WIL-COR,2020-01-24,Willamette,11376.3474,1397.921591,6,78022384,668.352,5.874926076888264e-5,8,2.239
WROL2019_073,WIL-POR,2020-01-26,Willamette,28921.6503,1338.995312,7,78020394,2574.288,8.900902864453762e-5,8.4,1.885
WROL2019_074,DES-LAP,2020-02-05,Deschutes,106.623,25.41251249,2,78024269,2.327904,2.183303789989027e-5,4.2,0.329
WROL2019_075,CUL-LAP,2020-02-05,Deschutes,52.0434,6.786065042,2,78024783,1.064832,2.0460461845306032e-5,5.4,0.068
WROL2019_076,BRO-LAP,2020-02-05,Deschutes,51.8805,8.499330357,2,78024593,0.62304,1.2009136380721081e-5,4.7,0.465
WROL2019_077,DES-WIC,2020-02-04,Deschutes,662.4486,3736.91724,4,78024218,3.00192,4.53155158000183e-6,2,0.435
WROL2019_078,LDS-LAP,2020-02-04,Deschutes,1862.1909,1060.314575,4,78024191,2.832,1.5207893025360612e-6,0,3.812
WROL2019_079,DES-BFA,2020-02-05,Deschutes,3606.912,1702.177025,5,78024103,16.65216,4.6167358671351e-6,1.8,1.318
WROL2019_080,WHY-SIS,2020-02-04,Deschutes,166.2804,19.86116563,3,78023762,1.8408,1.1070456890890328e-5,0,0.647
WROL2019_081,DES-MAD,2020-02-04,Deschutes,18388.1277,3645.309707,6,78021674,126.5904,6.8843550613366685e-6,7.6,0.407
WROL2019_082,TRO-GAT,2020-02-04,Deschutes,1668.3183,53.51359919,5,78021831,0.75048,4.498422153614212e-7,1.9,2.834
WROL2019_083,DES-MOO,2020-02-08,Deschutes,25189.3503,2922.23703,6,78020390,196.824,7.813778349019188e-6,7.4,1.07
WROL2019_084,DES-MOO,2020-10-02,Deschutes,25189.3503,2932.684839,6,78020390,115.5456,4.587081390503351e-6,15.1,NA
WROL2019_085,DES-MOO,2020-03-08,Deschutes,25189.3503,2928.936346,6,78020390,139.3344,5.531480500312864e-6,8.26,0.573
WROL2019_086,WIL-POR,2020-03-08,Willamette,28921.6503,1362.142796,7,78020394,472.944,1.63525938213837e-5,8.93,1.091
WROL2019_097,CT-UNIO,2020-06-05,Connecticut,978.5736,6367.168489,5,73003731,8.86416,9.05824559338204e-6,18.3,3.001
WROL2019_098,CT-PHEL,2020-06-05,Connecticut,7.8183,2.765008583,1,73004283,2.103228488,2.690135308187202e-4,20.6,4.302
WROL2019_099,CT-BUNN,2020-06-05,Connecticut,10.5084,2.477357428,1,NA,0.0909072,8.650907845152449e-6,17.6,2.093
WROL2019_100,CT-THOM,2020-06-06,Connecticut,25008.6483,28300.71713,6,73003672,245.5344,9.81797964666487e-6,22.5,2.72
WROL2019_1001,EAS-ROC,2019-10-19,Gunnison,4.6413,1.234425865,1,77015865,0.048046144,1.0351872104798223e-5,1,0.974
WROL2019_1002,EAS-RUS,2019-10-19,Gunnison,15.0255,1.850713026,1,77015865,0.073169985,4.869720475192174e-6,4.7,0.578
WROL2019_1003,EAS-PUM,2019-10-19,Gunnison,86.7375,7.598196956,2,77015865,0.448260411,5.168011655858193e-6,4.5,0.721
WROL2019_1004,EAS-BRA,2019-10-19,Gunnison,4.9086,1.212724777,1,77015865,0.039191327,7.984216884651428e-6,3.9,0.488
WROL2019_101,CT-FARM,2020-06-06,Connecticut,1492.9416,4803.220816,5,73003727,15.60432,1.0452063228729106e-5,20.8,2.813
WROL2019_102,CT-STIL,2020-06-06,Connecticut,222.6708,3512.512568,4,73003738,1.10448,4.960147446364767e-6,22.8,3.538
WROL2019_103,WIL-POR,2020-04-03,Willamette,28921.6503,1349.691378,7,78020394,1127.136,3.897204994557312e-5,8.3,2.273
WROL2019_104,DES-MOO,2020-04-03,Deschutes,25189.3503,2929.634017,6,78020390,134.52,5.340352109041892e-6,9,0.977
WROL2019_105,WIL-JAS,2020-04-23,Willamette,3494.8566,2005.660372,5,78023216,49.8432,1.4261872718897823e-5,11.8,1.912490784
WROL2019_106,HJA-WS1,2020-04-21,Willamette,0.96,1.015177426,1,78023871,0.008656333,9.017013541666668e-6,8.9,0.9
WROL2019_107,MCK-WAL,2020-04-23,Willamette,2730.9312,1293.467531,5,78023324,63.4368,2.3228999690654966e-5,9,0.956
WROL2019_108,WIL-POR,2020-04-27,Willamette,28921.6503,1360.131763,7,78020394,540.912,1.8702667184935847e-5,13.5,1.387
WROL2019_109,HJA-WS2,2020-04-21,Willamette,0.6,1.010986401,1,78023871,0.0092312580000000009,1.5385430000000002e-5,7.8,0.909
WROL2019_110,LOO-BLU,2020-04-21,Willamette,63.5697,7.482794659,3,78023871,2.94528,4.633150699153842e-5,6.5,0.66
WROL2019_111,WIL-HAR,2020-04-23,Willamette,8825.7501,1556.345136,6,78023210,187.1952,2.1210117879952214e-5,12.5,1.243
WROL2019_112,WIL-GOS,2020-04-23,Willamette,1664.3106,1442.632137,5,78023308,15.06624,9.052541034107456e-6,13.2,2.123723777
WROL2019_113,BLU-BLU,2020-04-21,Willamette,227.9673,2970.17802,4,78023549,1.639728,7.192821075654272e-6,7.3,0.908
WROL2019_114,WIL-COR,2020-04-23,Willamette,11376.3474,1410.244725,6,78022384,194.2752,1.7077115630276905e-5,13.6,1.466
WROL2019_115,BLU-TID,2020-04-21,Willamette,119.3625,6.800082805,3,78023561,4.469025032,3.7440779407267785e-5,7.3,0.761
WROL2019_116,DES-LAP,2020-05-07,Deschutes,106.623,25.7940673,2,78024269,2.056032,1.9283194057567316e-5,12.8,0.545
WROL2019_117,CUL-LAP,2020-05-07,Deschutes,52.0434,6.754284478,2,78024783,1.107312,2.1276703674241117e-5,10.6,0.305
WROL2019_118,BRO-LAP,2020-05-07,Deschutes,51.8805,8.677903657,2,78024593,0.52392,1.0098591956515456e-5,12.8,0.331
WROL2019_119,DES-WIC,2020-05-07,Deschutes,662.4486,3729.596641,4,78024218,29.1696,4.4033001201904566e-5,12.5,1.024
WROL2019_120,LDS-LAP,2020-05-07,Deschutes,1862.1909,1054.468491,4,78024191,7.24992,3.893220614492317e-6,13.7,3.928
WROL2019_121,CT-SLPR,2020-03-12,Connecticut,120.4659,8.659946485,3,73001445,3.22848,2.6799949197241706e-5,0.9,1.787
WROL2019_122,CT-POPE,2020-03-13,Connecticut,11.1456,4.449242436,1,73001606,0.478608,4.2941429801894915e-5,1.8,1.489
WROL2019_123,CT-W9,2020-03-13,Connecticut,0.41,1.115793647,1,73001606,1.075109516,0.002622218331707317,1.9,1.728
WROL2019_124,CT-EBRA,2020-03-13,Connecticut,139.3335,15.9941808,3,73001057,7.08,5.08133363476838e-5,1.5,3.145
WROL2019_125,CT-PASS,2020-03-13,Connecticut,1125.1035,25.58246883,4,73001343,53.808,4.782493343945691e-5,1.6,3.143
WROL2019_126,CT-MOOS,2020-03-12,Connecticut,208.9341,25.00509972,3,73001351,14.13168,6.763702047679149e-5,0,5.499
WROL2019_128,CT-THOM,2020-03-21,Connecticut,25008.6483,28282.64939,6,73003672,866.592,3.465169287058189e-5,5.1,NA
WROL2019_130,CT-STIL,2020-03-21,Connecticut,222.6708,3510.27523,4,73003738,7.05168,3.166863369602121e-5,7.2,NA
WROL2019_134,CT-BUNN,2020-03-22,Connecticut,10.5084,3.546241104,1,NA,0.242136,2.3042137718396712e-5,3.7,NA
WROL2019_135,CT-PASS,2020-06-05,Connecticut,1125.1035,30.32136684,4,73001343,13.05552,1.1603839113468228e-5,16.7,2.455
WROL2019_136,CT-SLPR,2020-06-05,Connecticut,120.4659,10.23164797,3,73001445,0.804288,6.6764785719444255e-6,21,1.604
WROL2019_137,CT-MOOS,2020-06-05,Connecticut,208.9341,31.61870598,3,73001351,1.999392,9.569486263850659e-6,0,4.504
WROL2019_138,CT-EBRA,2020-06-05,Connecticut,139.3335,18.41909453,3,73001057,2.183472,1.5670832929625683e-5,0,2.437
WROL2019_139,CT-POPE,2020-06-05,Connecticut,11.1456,2.509802642,1,73001606,0.101952,9.147286821705427e-6,12.5,1.217
WROL2019_140,CT-W9,2020-06-06,Connecticut,0.41,1.049253708,1,73001606,1.028826777,0.0025093336024390243,12.6,1.192
WROL2019_145,DES-BFA,2020-05-07,Deschutes,3606.912,1696.259534,5,78024103,41.3472,1.1463323751730013e-5,11.7,1.404
WROL2019_146,WHY-SIS,2020-05-07,Deschutes,166.2804,20.90597531,3,78023762,1.200768,7.221344187288461e-6,3.6,0.893
WROL2019_147,DES-MAD,2020-05-07,Deschutes,18388.1277,3647.433427,6,78021674,107.8992,5.8678731059715226e-6,12.5,0.752
WROL2019_148,TRO-GAT,2020-05-07,Deschutes,1668.3183,54.84274906,5,78021831,0.611712,3.6666384346440365e-7,17.6,3.368
WROL2019_149,DES-MOO,2020-05-13,Deschutes,25189.3503,2929.261242,6,78020390,137.0688,5.441537727950054e-6,15.4,0.978
WROL2019_150,WIL-POR,2020-06-21,Willamette,28921.6503,1358.591738,7,78020394,600.384,2.0758981378043978e-5,17.5,1.359
WROL2019_151,DES-MOO,2020-06-21,Deschutes,25189.3503,2930.936247,6,78020390,126.024,5.003066712681351e-6,17,0.9
WROL2019_152,DES-MOO,2020-07-30,Deschutes,25189.3503,2932.884451,6,78020390,114.4128,4.542110004321946e-6,18.7,0.901
WROL2019_153,WIL-POR,2020-07-30,Willamette,28921.6503,1375.907652,7,78020394,199.0896,6.883756560738167e-6,23.8,1.28
WROL2019_154,DES-MOO,2020-09-03,Deschutes,25189.3503,2932.884451,6,78020390,114.4128,4.542110004321946e-6,17.4,0.764
WROL2019_155,WIL-POR,2020-09-03,Willamette,28921.6503,1375.118806,7,78020394,208.7184,7.216683620574721e-6,22.2,1.039
WROL2019_162,CT-EBRA,2019-08-05,Connecticut,139.3335,20.39356396,3,73001057,0.93456,6.707360397894261e-6,19,2.428
WROL2019_164,CT-POPE,2019-08-06,Connecticut,11.1456,1.724717251,1,73001606,0.029736,2.667958656330749e-6,12.1,0.789
WROL2019_165,CT-W9,2019-08-06,Connecticut,0.41,1.013016508,1,73001606,1.006417071,0.0024546757829268296,14.6,1.133
WROL2019_166,CT-PASS,2019-08-06,Connecticut,1125.1035,34.15335344,4,73001343,4.84272,4.304244009551121e-6,23.6,2.246
WROL2019_167,CT-UNIO,2019-08-28,Connecticut,978.5736,6371.400841,5,73003731,3.05856,3.125528830943324e-6,19.56,3.212
WROL2019_168,CT-PHEL,2019-08-28,Connecticut,7.8183,2.765008583,1,73004283,2.103228488,2.690135308187202e-4,NA,2.111
WROL2019_169,CT-BUNN,2019-08-28,Connecticut,10.5084,1.705751145,1,NA,0.0263376,2.5063377869133265e-6,16.04,1.102
WROL2019_170,CT-NEPA,2019-08-28,Connecticut,62.0703,5.044340825,3,73004283,0.1112976,1.7930894485768554e-6,16.99,2.437
WROL2019_171,CT-STIL,2019-08-28,Connecticut,222.6708,3513.845511,4,73003738,0.433296,1.9459039981892553e-6,NA,3.379
WROL2019_172,CT-THOM,2019-08-29,Connecticut,25008.6483,28316.52807,6,73003672,93.456,3.736947270356871e-6,24.25,2.818
WROL2019_173,CT-FARM,2019-08-29,Connecticut,1492.9416,4808.905563,5,73003727,6.99504,4.685407654257876e-6,21.75,2.722
WROL2019_174,CT-MOOS,2019-11-04,Connecticut,208.9341,28.31677984,3,73001351,5.01264,2.3991488225234656e-5,4.2,6.098
WROL2019_175,CT-PASS,2019-11-04,Connecticut,1125.1035,27.08738278,4,73001343,33.4176,2.970180076766271e-5,5.5,3.972
WROL2019_176,CT-W9,2019-11-05,Connecticut,0.41,1.097538851,1,73001606,1.062018884,0.0025902899609756102,6.2,1.574
WROL2019_177,CT-POPE,2019-11-05,Connecticut,11.1456,3.067212785,1,73001606,0.1775664,1.5931524547803617e-5,6.2,1.797
WROL2019_178,CT-THOM,2019-11-07,Connecticut,25008.6483,28292.62337,6,73003672,421.968,1.6872883129793145e-5,8.5,4.163
WROL2019_179,CT-FARM,2019-11-07,Connecticut,1492.9416,4803.560958,5,73003727,14.83968,9.939893161259622e-6,8,3.632
WROL2019_180,CT-STIL,2019-11-07,Connecticut,222.6708,3511.157809,4,73003738,3.22848,1.4498892535527781e-5,7.3,3.987
WROL2019_181,CT-UNIO,2019-11-07,Connecticut,978.5736,6367.005748,5,73003731,9.26064,9.463406738133954e-6,8.4,4.075
WROL2019_182,CT-NEPA,2019-11-08,Connecticut,62.0703,7.573914382,3,73004283,0.359664,5.794462085731823e-6,4.6,3.753
WROL2019_183,CT-EBRA,2019-11-04,Connecticut,139.3335,16.81189732,3,73001057,4.6728,3.35368019894713e-5,5.8,3.947
WROL2019_184,CT-SLPR,2019-11-04,Connecticut,120.4659,9.098926486,3,73001445,2.13816,1.7749089161331132e-5,3.9,2.592
WROL2019_185,CT-PHEL,2019-11-08,Connecticut,7.8183,2.765008583,1,73004283,2.103228488,2.690135308187202e-4,3.7,5.484
WROL2019_186,CT-BUNN,2019-11-08,Connecticut,10.5084,2.902994438,1,NA,0.1416,1.3474934338243692e-5,4.3,3.047
WROL2019_188,GUN-R32,2020-02-14,Gunnison,5509.3851,1653.874478,6,77013519,9.26064,1.6808844965293858e-6,0.1,1.278
WROL2019_189,EAS-ALM,2020-02-14,Gunnison,749.4102,33.74306341,4,77014019,1.75584,2.342962505714494e-6,0.8,0.722
WROL2019_190,EAS-RUS,2020-02-20,Gunnison,15.0255,1.52548547,1,77015865,0.036123083,2.4041185318292236e-6,0.1,0.357
WROL2019_192,EAS-PUM,2020-02-15,Gunnison,86.7375,7.015940735,2,77015865,0.356503219,4.11013943219484e-6,0.1,0.471
WROL2019_193,EAS-ROC,2020-02-20,Gunnison,4.6413,1.209772808,1,77015865,0.041156682,8.867490142847909e-6,0.1,0.973
WROL2019_194,TAY-RES,2020-02-15,Gunnison,662.6592,10869.74142,5,77014098,2.77536,4.188216205253017e-6,2.5,1.759
WROL2019_195,GUN-GUN,2020-02-14,Gunnison,2645.9361,3385.753636,5,77013903,6.6552,2.5152534862803373e-6,0,1.089
WROL2019_209,GUN-TUN,2019-10-20,Gunnison,10283.8923,5819.649746,6,77013467,12.036,1.1703739837882199e-6,11.5,3.496
WROL2019_210,GUN-R32,2019-10-18,Gunnison,5509.3851,1652.755656,6,77013519,10.93152,1.9841633506432506e-6,5.4,1.495
WROL2019_211,TAY-TAY,2019-10-18,Gunnison,331.3395,17.43868602,4,77014146,1.65672,5.000067906180821e-6,6.9,0.906
WROL2019_212,GUN-GUN,2019-10-18,Gunnison,2645.9361,3384.628494,5,77013903,8.2128,3.103929834133183e-6,5.9,1.42
WROL2019_213,GUN-GRJ,2019-10-20,Gunnison,20481.6555,3296.905491,6,77013352,51.2592,2.502688320287391e-6,10.5,4
WROL2019_215,TAY-RES,2019-10-18,Gunnison,662.6592,10869.1026,5,77014098,3.8232,5.769481507236298e-6,8.9,2.006
WROL2019_216,EAS-ALM,2019-10-18,Gunnison,749.4102,32.84134904,4,77014019,2.200464,2.9362610757099382e-6,9.9,1.03
RC2_0001,T06,2021-04-20,Yakima,206.2035,17.9185943,3,78017752,15.23616,7.388894950861649e-5,4.3,1
RC2_0002,T05P,2021-04-20,Yakima,383.8644,50.86280385,4,78018214,132.36768,3.448292678352043e-4,4.97,2.49
