site,streamorde,ElevWs,TmeanSite,PrecipSite,RunoffWs,areasqkm,CatAreaSqKm,WsAreaSqKm,slope,PctOw2019Ws,PctMxFst2019Ws,PctDecid2019Ws,PctConif2019Ws,PctCrop2019Ws,PctWdWet2019Ws,PctHbWet2019Ws,PctUrbHi2019Ws,PctImp2019Ws,PopDen2010Ws,RdDensWs,KffactWs,WWTPAllDensWs,OmWs,DamDensWs,HydrlCondWs,ClayWs,SandWs,PermWs,lulc_H,lulc_evenness
BLU-BLU,4,929.3189,1.8449000120163,1080.23303222656,1287.3074,1.3392,1.3392,227.9673,0.04118119,1.16,0.22,0.02,94.96,0,0.02,0,0,0.17,0.8504,1.1323,0.245,0,2.9879,0.0044,0.2521,21.6453,29.4914,5.9588,0.1285167788711499,0.058490506704123875
BLU-TID,3,973.6319,2.00499987602234,1011.251953125,1290.6067,1.2159,1.2159,119.3625,0.00696185,0.01,0.15,0.01,95.78,0,0.03,0,0,0.18,0.7977,1.1736,0.2482,0,3.0812,0,0.2614,19.7765,30.5615,6.3983,0.06670174885136362,0.03035727414456138
BRO-LAP,2,1575.2983,-0.5,1225.87097167969,1167.9723,9.054,9.054,51.8805,0.0054307,0.26,0,0,93.56,0,1.08,0.32,0,0.19,1.9234,1.2206,0.1469,0,1.8173,0,0.2159,7.7171,58.976,19.9247,0.15694875342137563,0.07143045596715956
CT-BUNN,1,280.8124,2.12999987602234,928.975952148438,697,10.5084,10.5084,10.5084,0.01115495,0.43,10.9,50.49,2.71,0.09,10.14,0.08,0.34,3.43,89.6735,2.3797,0.2267,0,3.2611,0,0.1763,5.491,52.5655,15.1543,1.0869435419250033,0.49468932449442515
CT-EBRA,3,517.5182,1.70489990711212,503.317993164062,642.1618,22.2633,22.2633,139.3335,0.00462611,0.7,24.25,54.03,9.56,0,4.64,0.13,0.01,0.44,6.4175,0.9763,0.3244,0,1.3085,0,0.067,6.4378,43.7927,6.9093,1.1112540828220132,0.5057535284669123
CT-FARM,5,272.6523,3.25989985466003,403.802001953125,696.5002,0.5454,0.5454,1492.9416,0.0028107,2.86,33.96,30.52,3.5,0.86,7.95,0.48,0.59,4.33,132.2161,2.7073,0.2337,0.0127,2.3805,0.0516,0.2093,5.9786,47.3054,12.0507,1.3820114410432103,0.6289805126423064
CT-MOOS,3,536.3488,1.6049998998642,530.572998046875,642.8138,15.2145,15.2145,208.9341,0.0070013,0.08,27.59,48.77,12.71,0,6.51,0.18,0,0.18,2.8145,0.645,0.348,0,1.121,0.0048,0.0854,6.491,41.8447,5.9766,1.1739546628874613,0.5342897922208262
CT-NEPA,3,256.7364,11.7599000930786,237.705993652344,693.835,12.267,12.267,62.0703,8.9813e-4,0.3,35.39,34.05,5.69,0.36,6.91,0.38,0.09,1.67,84.5602,2.2817,0.2332,0,3.1239,0.0161,0.1849,5.9666,49.1328,11.5319,1.2157097960211285,0.5532933722664711
CT-PASS,4,439.55,7.19999980926514,468.744995117188,642.2694,5.6574,5.6574,1125.1035,0.00664459,0.35,27.47,35.09,15.3,0.52,4.07,0.25,0.22,1.64,19.0877,1.4938,0.3182,0.0027,1.3055,0.0107,0.084,6.9412,38.7051,5.7279,1.2829389956060975,0.5838906995849528
CT-PHEL,1,246.0159,3.57489991188049,263.915008544922,697,7.8183,7.8183,7.8183,0.02068264,0.25,19.16,48.35,2.59,0,13.54,0.14,0,1.59,88.2438,2.5041,0.2323,0,2.7438,0,0.2165,5.0791,54.2971,18.1766,1.1233392771808597,0.5112537374503281
CT-POPE,1,491.5446,3.79999995231628,255.485000610352,642,11.1456,11.1456,11.1456,0.03847092,0,17.32,51.8,9.12,1.29,1.06,0.06,0.09,0.8,13.1213,1.016,0.3184,0,1.6233,0,0.073,7.7832,32.5976,3.2564,1.0165081554248923,0.4626327986269134
CT-SLPR,3,402.2143,4.98000001907349,1157.95703125,642,15.7788,15.7788,120.4659,0.00671936,0.03,23.81,32.56,17.34,0.64,2.6,0.17,0.15,1.79,25.294,1.6145,0.3131,0.0083,1.6914,0,0.0693,7.6319,35.6211,4.546,1.2331229005759325,0.5612184176780396
CT-STIL,4,367.6508,4.9899001121521,1122.92993164062,695.3098,1.9152,1.9152,222.6708,0.00571428,2.26,43.56,29.09,3.32,0.03,8.06,0.65,0.36,2.46,66.7449,2.2027,0.2346,0.0135,2.9604,0.0763,0.1336,5.9929,48.1566,10.7666,1.2694342030868229,0.5777444036357026
CT-THOM,6,384.49,5.88489961624146,1028.126953125,642.109,1.2924,1.2924,25008.6483,5.7272e-4,1.92,30.06,30.47,16.05,0.71,5.24,0.38,0.41,2.28,47.1959,1.7842,0.2671,0.0052,1.5701,0.0323,0.1736,6.0304,44.9341,9.5096,1.4125186384035466,0.6428649365082187
CT-UNIO,5,339.6061,4.59489965438843,1278.27294921875,696.3907,0.8298,0.8298,978.5736,1e-5,3.76,42.6,30.1,3.63,0.04,7.61,0.59,0.17,1.7,55.5349,2.0687,0.2304,0.0051,2.5102,0.0572,0.2465,5.9333,46.4966,10.1986,1.2781643037288921,0.5817176436641084
CUL-LAP,2,1561.3865,6.64989995956421,1002.93194580078,1168.437,7.1703,7.1703,52.0434,0.00184179,0.72,0.05,0.01,94.5,0,0.21,0.2,0,0.1,0.9121,0.2405,0.1688,0,2.2997,0,0.2819,9.4151,49.0661,12.201,0.12598811118257155,0.05733966044349997
DES-BFA,5,1495.7562,8.76989936828613,1376.31799316406,716.7908,23.8077,23.8077,3606.912,4.7442e-4,2.05,0.04,0.02,70.42,0.01,1.4,1.28,0.02,0.68,5.3324,2.2102,0.1176,0,1.3569,0.0017,1.4438,6.427,67.3235,26.8571,0.48359152622610824,0.22009198841767233
DES-LAP,2,1605.4007,8.96990013122559,1372.52197265625,1168,0.0054,0.0054,106.623,0.00375,1.91,0.05,0.02,84.13,0,1.14,0.51,0,0.21,0.8633,0.5815,0.1456,0,1.9266,0,0.1901,7.5602,58.7672,19.4199,0.31735932842911835,0.14443645483606657
DES-MAD,6,1313.8973,8.94989967346191,1377.2919921875,496.796,9.558,9.558,18388.1277,0.00290472,0.67,0.01,0.01,31.62,1.37,0.56,0.88,0.05,0.79,10.7051,1.5699,0.2553,1e-4,1.2638,0.0036,5.782,19.4846,44.8489,11.4366,0.5709541704839493,0.2598524412903387
DES-MOO,6,1194.0077000000001,10.3399000167847,1323.09997558594,455.6211,5.2659,5.2659,25189.3503,0.0026644,0.57,0.03,0.03,29.2,2.58,0.46,0.66,0.04,0.66,8.1165,1.3862,0.2697,1e-4,1.3586,0.0037,7.9371,21.1675,39.7166,9.4013,0.5822919242569656,0.26501247540335665
DES-WIC,4,1523.0327,10.1198997497559,1263.83801269531,1167.8381,5.9427,5.9427,662.4486,0.00761618,5.91,0.04,0.04,82.77,0,0.75,2.55,0,0.2,1.4192,1.1817,0.1289,0,1.7141,0.0045,0.2186,6.9829,62.5463,22.4215,0.4726338955572176,0.21510495578481556
EAS-ALM,4,3130.6144,9.15489959716797,1315.51196289062,315.8472,3.1644,3.1644,749.4102,0.00856535,0.11,2.51,16.16,29.29,0,4.03,2.41,0.04,0.53,5.7807,0.8773,0.274,0.008,0.6732,0.0027,6.1895,19.2246,41.1091,10.7381,1.0042875478610058,0.4570709604379824
EAS-BRA,1,3507.1022,10.5549993515015,1217.66491699219,316,1.2834,1.2834,4.9086,0.12940246,0,0.11,1.01,32.82,0,3.45,0.15,0.17,0.21,1.381,0.2268,0.332,0,1.0422,0,0.0837,14.4093,48.0104,17.5305,0.5692607947843017,0.25908175279672074
EAS-PUM,2,3334.9476,10.9299993515015,187.606002807617,315.6672,17.0991,17.0991,86.7375,0.01346106,0.13,1.01,10.28,22.89,0,5.54,1.96,0.02,0.17,3.3736,0.5298,0.3273,0,1.1464,0,0.1756,16.5671,41.0658,11.6398,0.8763219436699788,0.3988313041411442
EAS-ROC,1,3357.6118,10.4348993301392,215.864990234375,315.9447,4.6413,4.6413,4.6413,0.1523744,0,0.41,2.02,54.74,0,3.28,0.68,0,0.02,1.3785,0.0959,0.3097,0,0.9877,0,0.2121,16.2159,38.9884,8.4942,0.5789378557487526,0.263485973040872
EAS-RUS,1,3482.692,8.125,361.681976318359,314.9564,1.4229,1.4229,15.0255,0.10428272,0.02,0.01,1.5,18.78,0,7.17,3.83,0,0.09,1.4068,0.2708,0.3295,0,1.1393,0,0.1261,15.9411,43.6772,13.844,0.699899150472282,0.31853783072133524
GUN-GRJ,6,2668.0676,7.45989990234375,463.873992919922,211.5858,0.7191,0.7191,20481.6555,1e-5,0.42,1.71,18.3,33.21,3.04,1.39,0.73,0.05,0.48,4.5297,0.7417,0.2939,0.0032,0.6725,0.0118,9.6797,25.0285,33.9764,6.1879,1.0003977303511515,0.45530062819703776
GUN-GUN,5,3105.8026,7.06990003585815,492.082000732422,313.3414,0.2655,0.2655,2645.9361,0.00847858,0.37,2,11.02,40.63,0,3.25,1.84,0.04,0.39,3.6318,0.7292,0.2613,0.0038,0.6992,0.0019,6.8951,18.3092,45.1552,12.0283,0.9175786512306289,0.41760804093273207
GUN-R32,6,3026.719,6.69989967346191,679.723999023438,181.9366,0.1422,0.1422,5509.3851,0.00650197,0.21,1.85,8.87,40.02,0,2.46,1.56,0.03,0.35,2.5793,0.7432,0.2859,0.0027,0.7608,0.0022,4.0641,19.1085,42.4693,10.3934,0.8464105387154467,0.38521803708457647
GUN-TUN,6,3008.8585,6.71989965438843,749.880981445312,241.8058,0.1593,0.1593,10283.8923,1e-5,0.52,2,11.89,38.32,0,1.85,1.16,0.02,0.29,1.573,0.7036,0.3031,0.002,0.7453,0.0032,2.9267,21.4569,38.9575,8.7931,0.8705080868851008,0.39618530388935097
LDS-LAP,4,1499.2649,6.56489992141724,798.677978515625,462.3258,9.8055,9.8055,1862.1909,4.3281e-4,1.03,0.04,0.01,65.7,0.01,2.04,0.81,0.02,0.76,2.3928,2.6037,0.1172,0,1.2804,0.0011,0.1782,6.2179,68.3502,28.5628,0.48528576853138067,0.22086307132050717
LOO-BLU,3,979.7036,7.25989961624146,462.078002929688,1285,7.1451,7.1451,63.5697,0.02049159,0,0.1,0.07,98.31,0,0,0,0,0.12,0.5299,1.3888,0.2396,0,3.0279,0,0.2258,19.1746,31.4446,6.5657,0.03681976056601457,0.016757395191097212
MCK-WAL,5,1078.0539,11.8948993682861,318.428894042969,1284.2403,2.8998,2.8998,2730.9312,0.00111062,0.59,1.09,0.08,82.58,0,0.2,0.08,0,0.16,1.583,0.8288,0.2249,0,2.9424,0.0029,11.6301,20.5575,34.1536,7.0102,0.2717399335735508,0.12367417348980851
T02,7,904.5658,11.1498994827271,260.255004882812,503.1249,53.6166,53.6166,13461.462,4.0288e-4,0.7,0.05,0.07,32.51,9.84,0.93,0.58,0.21,1.42,19.2646,1.3932,0.355,0.0108,0.9292,0.0022,17.873,18.2332,33.1702,5.6788,0.783804333261876,0.35672472506752695
T03,7,1030.176,11.0699996948242,257.756988525391,674.3999,0.3294,0.3294,8977.0689,8.4745e-4,0.93,0.05,0.08,41.44,3.48,0.78,0.2,0.24,1.45,20.511,1.3432,0.3254,0.0113,1.0067,0.0028,19.5435,19.0051,35.0875,5.1981,0.661078420076701,0.30086975491515394
T05P,4,1311.284,11.5949001312256,1144.4990234375,1028.1392,1.2276,1.2276,383.8644,0.0055638,0.05,0,0.05,78.14,0,0.73,0.04,0.02,0.18,1.4189,0.4091,0.2785,0,0.8758,0,4.9534,9.9812,51.3773,9.8441,0.25247148429917055,0.11490472430690335
T06,3,1463.5289,11.654899597168,1110.34497070312,1032.4096,11.9232,11.9232,206.2035,0.01734268,0.16,0.04,0.06,65.64,0,1.32,0.09,0.01,0.19,0.6106,0.2634,0.2271,0,1.1919,0,8.7143,6.0392,63.6134,12.4812,0.3704772293507617,0.16861145336354538
T07,7,879.9867,11.6198997497559,1055.29797363281,486.4767,8.6454,8.6454,14144.7249,0.00171943,0.7,0.05,0.06,30.94,11.42,0.89,0.57,0.21,1.47,20.0267,1.4353,0.3616,0.0113,0.9191,0.0025,18.198,17.846800000000002,32.61,5.6001,0.8001971394727153,0.3641854126913259
T41,6,1314.7796,11.5148992538452,1079.24401855469,1028.5995,10.44,10.44,2465.9001,0.00603894,0.86,0.01,0.06,70.8,0.25,0.96,0.14,0.03,0.5,1.5408,0.7453,0.3026,4e-4,1.0333,0.0016,6.424,16.0442,41.3047,6.5142,0.388459130031949,0.17679536904820764
T42,6,1314.7796,11.6448993682861,1346.25,1028.5995,10.44,10.44,2465.9001,0.00603894,0.86,0.01,0.06,70.8,0.25,0.96,0.14,0.03,0.5,1.5408,0.7453,0.3026,4e-4,1.0333,0.0016,6.424,16.0442,41.3047,6.5142,0.388459130031949,0.17679536904820764
TAY-RES,5,3313.7191,10.5748996734619,2062.28100585938,312.8911,4.4595,4.4595,662.6592,0.02644614,1.23,0.05,0.79,55.6,0,4.61,2.54,0.01,0.21,0.1595,0.513,0.2413,0,0.6731,0.0015,11.4205,14.1626,55.7678,16.4067,0.6715162327798733,0.3056202081964596
TAY-TAY,4,3328.9854,10.1248998641968,2106.57690429688,314.132,5.0157,5.0157,331.3395,0.01421518,0.07,0.05,0.63,54.17,0,5.33,3.13,0,0.22,0.1582,0.4238,0.2434,0,0.5484,0,6.9308,14.0353,56.1889,17.1891,0.6510502056748114,0.29630571785434184
TRO-GAT,5,1002.33,10.4699001312256,2232.71069335938,339.0483,0.9873,0.9873,1668.3183,0.00883527,0.04,0,0,12.47,4.26,0.04,0.08,0.01,0.33,1.4494,1.0397,0.3113,0,1.3814,0.0024,1.8013,35.6561,17.5443,1.6471,0.42578802183904135,0.19378447985286995
WHY-SIS,3,1709.2918,12.3948993682861,1111.13598632812,1168.1298,16.6761,16.6761,166.2804,0.01136638,0.11,0.01,0.02,33.21,0,0.25,0.04,0,0.46,2.9137,0.9641,0.1801,0,1.2673,0,0.2515,11.4857,60.7377,21.3905,0.41906244725800224,0.1907235389502369
WIL-COR,6,725.3622,6.81489992141724,907.461975097656,1063.431,1.1196,1.1196,11376.3474,3.0636e-4,1.27,2.77,0.29,68.37,2.32,0.74,0.73,0.42,1.62,33.0092,1.4965,0.2489,0.0013,2.5383,0.0037,15.7993,29.1975,24.9091,4.7889,0.6810143374685539,0.30994298192958225
WIL-GOS,5,598.4529,5.77499961853027,1376.20092773438,833.4482,3.7035,3.7035,1664.3106,0.00134279,0.64,3.33,0.16,72.26,0.09,0.61,0.46,0.13,0.83,16.8743,1.763,0.2567,6e-4,2.5073,0.0024,16.9575,36.0269,19.6093,3.0321,0.5012780903088441,0.22814149062385006
WIL-HAR,6,880.7866,9.56489944458008,264.597991943359,1110.5303,3.8313,3.8313,8825.7501,8.6906e-4,1.18,1.46,0.14,79.23,0.29,0.46,0.3,0.23,1,22.0074,1.3216,0.2384,6e-4,2.6984,0.0026,12.7319,27.0701,27.6253,5.2679,0.4269094282745503,0.19429485391616597
WIL-JAS,5,1006.0473,11.9748992919922,203.871002197266,1083.76,5.5674,5.5674,3494.8566,0.0089855,1.87,0.68,0.06,86.97,0,0.2,0.08,0.02,0.3,3.1871,1.2058,0.2329,9e-4,2.7707,0.0014,5.4686,25.7883,28.3289,5.2705,0.27148141559683736,0.12355651688821212
WIL-POR,7,555.4519,9.56489944458008,264.597991943359,1199.9716,125.1927,125.1927,28921.6503,1e-5,0.96,4.06,0.52,55.24,7.62,1.02,0.7,0.81,3.27,83.2088,2.0362,0.2641,0.0021,2.4216,0.0087,17.0089,28.6796,23.1176,4.7375,0.9583982640515076,0.43618584733537386
HJA-WS2,1,812,9.4,2200,NA,0.6,NA,0.6,0.5319,0,100,5,95,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0.1985152433458726,0.09034818078839274
HJA-WS1,1,733,9.5,2000,NA,0.96,NA,0.96,0.5935,0,100,5,95,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0.1985152433458726,0.09034818078839274
CT-W9,1,570,4.6,1100,NA,0.41,NA,0.41,0.206,0,100,95,5,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0.1985152433458726,0.09034818078839274
